steps,time,reward,delta,converged
1,0.06447134673416599,-79.22510188160672,0.21031425775204624,False
2,0.06283696916227655,-66.04345413967759,0.000879920373813417,False
3,0.06275868829474973,-66.04149972657713,2.0624919650213958e-06,False
4,0.06317971242006593,-66.04149490483411,1.3497184414845709e-06,False
5,0.06311588882988417,-66.04149014514861,1.3497184414845709e-06,False
6,0.06358698450110012,-66.04149065679748,1.3497184414845709e-06,False
7,0.06297942623650954,-66.04148989894303,1.3497184414845709e-06,False
8,0.0793923147934521,-66.0414915886263,1.3497184414845709e-06,False
9,0.06363106156614151,-66.04148542412172,1.3495266067975464e-06,False
10,0.07233575298789674,-66.04149048514333,1.3497278767427012e-06,False
11,0.06585677704268278,-66.04149053304378,1.3497184414845709e-06,False
12,0.062244926024575875,-66.04148908727471,1.3497184414845709e-06,False
13,0.06242934446473214,-66.0414861410654,1.3497184414845709e-06,False
14,0.06215113003017336,-66.04149102106098,1.3497184414845709e-06,False
15,0.061999504926404825,-66.04148970180403,1.3497184414845709e-06,False
16,0.06264867194039425,-66.04149092817569,1.3497184414845709e-06,False
17,0.0620534552540164,-66.04148553477785,1.3497184414845709e-06,False
18,0.06503235961807263,-66.04149249132588,1.3497184414845709e-06,False
19,0.06184717458960165,-66.04148717882136,1.3497184414845709e-06,False
20,0.06223470014548127,-66.04149182183787,1.3497184414845709e-06,False
21,0.06172164310835626,-66.04148675809144,1.3497184414845709e-06,False
22,0.06207179131307328,-66.04149034327814,1.3497184414845709e-06,False
23,0.0621500721806143,-66.0414894840438,1.3497184414845709e-06,False
24,0.06225620975322954,-66.04149008473985,1.3497184414845709e-06,False
25,0.06193850226839004,-66.04148861866938,1.3497184414845709e-06,False
26,0.062079196260015124,-66.04148637082537,1.3497184414845709e-06,False
27,0.06209259568778691,-66.04149125635404,1.3497184414845709e-06,False
28,0.061683207907634596,-66.04149098894119,1.3497184414845709e-06,False
29,0.0616341942112939,-66.04148646804828,1.3497184414845709e-06,False
30,0.06191346649544016,-66.04148990957921,1.3497184414845709e-06,False
31,0.061582712199324874,-66.04149010562757,1.3497184414845709e-06,False
32,0.06163066804610651,-66.04149269470996,1.3497184414845709e-06,False
33,0.06265184548908564,-66.04148429946594,1.3497184414845709e-06,False
34,0.06199809446032134,-66.04149155105445,1.3497184414845709e-06,False
35,0.06186868419734992,-66.04148949146608,1.3497184414845709e-06,False
36,0.06198152148387237,-66.04149215647433,1.3497184414845709e-06,False
37,0.06170083873365684,-66.04148455793562,1.3497184414845709e-06,False
38,0.06174985242999753,-66.04149060628798,1.3497184414845709e-06,False
39,0.06137960508360152,-66.04149133532619,1.3497184414845709e-06,False
40,0.06213596751979367,-66.04148846359365,1.3497184414845709e-06,False
41,0.06167650819375581,-66.04148767839806,1.3497184414845709e-06,False
42,0.062134909670220395,-66.04148868347006,1.3497184414845709e-06,False
43,0.06174879458042426,-66.04149159099052,1.3497184414845709e-06,False
44,0.061739626550902926,-66.04148878878537,1.3497184414845709e-06,False
45,0.06215888759361121,-66.04148673105813,1.3497184414845709e-06,False
46,0.06316031851144999,-66.04149176086173,1.3497184414845709e-06,False
47,0.06273153682268173,-66.0414884844815,1.3497184414845709e-06,False
48,0.06286976249867848,-66.04149175443851,1.3497184414845709e-06,False
49,0.06286588371695245,-66.04148661211055,1.3497184414845709e-06,False
50,0.06350517746835749,-66.04149188569089,1.3497184414845709e-06,False
51,0.06267088678117716,-66.04148729131012,1.3497184414845709e-06,False
52,0.06208448550781043,-66.04149241948421,1.3497184414845709e-06,False
53,0.062331669688589386,-66.04148640921805,1.3497184414845709e-06,False
54,0.062002325858571794,-66.04148898514185,1.3497184414845709e-06,False
55,0.06224845218977748,-66.0414903950548,1.3497184414845709e-06,False
56,0.06258590619977156,-66.04149077623838,1.3497184414845709e-06,False
57,0.062229410897685966,-66.04148801303448,1.3497184414845709e-06,False
58,0.062426170916040746,-66.04148648331419,1.3497184414845709e-06,False
59,0.0628803409942833,-66.04149185400034,1.3497184414845709e-06,False
60,0.062435691562100715,-66.0414906400678,1.3497184414845709e-06,False
61,0.06267547079595204,-66.04148510991207,1.3497184414845709e-06,False
62,0.06367549124770733,-66.0414908205903,1.3497184414845709e-06,False
63,0.06385990968786359,-66.04149079712614,1.3497184414845709e-06,False
64,0.06217510795354997,-66.04149208907499,1.3497184414845709e-06,False
65,0.06316172897753347,-66.0414844119547,1.3497184414845709e-06,False
66,0.06289902966985039,-66.04149214870073,1.3497184414845709e-06,False
67,0.06278478191725867,-66.04148914259265,1.3497184414845709e-06,False
68,0.06231862287734202,-66.04149079833807,1.3497184414845709e-06,False
69,0.06268957545675846,-66.0414854689466,1.3497184414845709e-06,False
70,0.06202559854891376,-66.0414912977865,1.3497184414845709e-06,False
71,0.062469895364571926,-66.0414907296912,1.3497184414845709e-06,False
72,0.06272342664271946,-66.04148857608249,1.3497184414845709e-06,False
73,0.06250833056529359,-66.04148827604436,1.3497184414845709e-06,False
74,0.0626053001084017,-66.04148833459669,1.3497184414845709e-06,False
75,0.06299176781470806,-66.04149023285426,1.3497184414845709e-06,False
76,0.06274246793481097,-66.04148969979636,1.3497184414845709e-06,False
77,0.06260106871015125,-66.04148742255666,1.3497184414845709e-06,False
78,0.062138435835422,-66.04149115522672,1.3497184414845709e-06,False
79,0.06292124451064751,-66.04148859697028,1.3497184414845709e-06,False
80,0.0620788436434907,-66.0414923520848,1.3497184414845709e-06,False
81,0.06224845218979169,-66.04148626323713,1.3497184414845709e-06,False
82,0.062391967113569535,-66.04149052755461,1.3497184414845709e-06,False
83,0.06218180766742876,-66.04148820232119,1.3497184414845709e-06,False
84,0.06346744750069888,-66.0414931109827,1.3497184414845709e-06,False
85,0.062326733057304295,-66.04148580358302,1.3497184414845709e-06,False
86,0.06245191192203947,-66.04148909763063,1.3497184414845709e-06,False
87,0.062298523735677236,-66.04149099270107,1.3497184414845709e-06,False
88,0.06255628641206101,-66.04149042736498,1.3497184414845709e-06,False
89,0.06220261204214239,-66.04148665489834,1.3497184414845709e-06,False
90,0.06251714597830471,-66.04148739432524,1.3497184414845709e-06,False
91,0.062412418871758746,-66.04149254549895,1.3497184414845709e-06,False
92,0.06293111777321769,-66.04149003443278,1.3497184414845709e-06,False
93,0.0626596030525235,-66.04148522240084,1.3497184414845709e-06,False
94,0.06244521220814647,-66.0414914182366,1.3497184414845709e-06,False
95,0.06270685366627049,-66.04149044825279,1.3497184414845709e-06,False
96,0.06358874758369382,-66.04149073093875,1.3497184414845709e-06,False
