steps,time,reward,delta,converged
1,0.03473519557170057,-48.19386825330825,0.25850763626273,False
2,0.05416824462559511,-41.72340737808608,0.00020735640012137235,False
3,0.053442559826681446,-41.72097955769877,7.509351701129319e-06,False
4,0.052546561248432155,-41.72097955769877,7.509351701018296e-06,False
5,0.05264070985936975,-41.72097955769877,7.509351701129319e-06,False
6,0.053025061866568635,-41.72097955769877,7.509351701018296e-06,False
7,0.054138977454405435,-41.72097955769877,7.509351701129319e-06,False
8,0.05252505164068921,-41.72097955769877,7.509351701018296e-06,False
9,0.05349968370298264,-41.72097955769877,7.509351701129319e-06,False
10,0.05252893042241347,-41.72097955769877,7.509351701018296e-06,False
11,0.052449944321852016,-41.72097955769877,7.509351701129319e-06,False
12,0.05309664302020245,-41.72097955769877,7.509351701018296e-06,False
13,0.051727785688141736,-41.72097955769877,7.509351701129319e-06,True
