episode,length,time,reward,delta
0,7.0,0.0006163736770758987,-1.5,-1.0
1,11.0,0.0010014309173129732,-2.0,-1.0
2,7.0,0.0008141915459418669,-1.7,-1.0
3,9.0,0.0006188419929458178,-1.7,-1.0
4,21.0,0.0013106756059642066,-1.6,-0.99
5,5.0,0.0003938726531487191,-1.5,-0.9
6,4.0,0.0003170022519043414,-1.2,-0.99
7,30.0,0.004810747187548259,-3.2000000000000006,-0.99
8,6.0,0.0005941588360656169,-1.4,-0.979293295453125
9,14.0,0.001118146985390922,-1.5,-0.9
10,7.0,0.0005250459989838419,-1.2,-0.89095
11,4.0,0.00032052841743279714,-1.1,-0.801855
12,8.0,0.0007172220020947861,-1.7999999999999998,-1.0
13,14.0,0.0011417722926125862,-1.7,-0.9895
14,3.0,0.00032863859723875066,-1.2,-0.8914
15,6.0,0.0005814646428916603,-1.6,-0.89055
16,6.0,0.0005176410522835795,-1.6,-0.81
17,12.0,0.000859326460158627,-1.7,-0.80226
18,6.0,0.0005310404794727219,-1.6,-0.729
19,7.0,0.0006096739643908222,-1.6,-0.99
20,19.0,0.0012680090076173656,-2.8000000000000007,-1.0
21,17.0,0.0016946749965427443,-2.0,-1.0
22,19.0,0.0013272485821289592,-2.8000000000000007,-1.0
23,12.0,0.0008314697552123107,-1.4,-0.8822674586315787
24,7.0,0.0006488143981187022,-1.7,-0.891
25,8.0,0.000706290889866068,-1.4,-0.73812398125
26,14.0,0.0010458605993335368,-2.0999999999999996,-0.9805
27,40.0,0.002844204853317933,-4.500000000000002,-0.9698258138125
28,40.0,0.003628776611549256,-2.9000000000000004,-0.81
29,16.0,0.002160128804462147,-2.0,-1.0
30,13.0,0.0012137060630266205,-2.2,-1.0
31,24.0,0.0018364268380537396,-2.0,-0.9
32,56.0,0.00334209938046115,-3.400000000000001,-0.8316744005057506
33,11.0,0.0008550950624339748,-1.9,-0.9877531548775909
34,13.0,0.0008744889701119973,-1.7,-0.7410291751293334
35,17.0,0.0013071494404357509,-2.4000000000000004,-0.9
36,5.0,0.0004940157450619154,-1.3,-0.6669262576164
37,3.0,0.00032440719951409847,-1.3,-0.9507899982836756
38,1.0,0.0017810660438044579,-1.1,-0.7801121465602552
39,21.0,0.0013974192697787657,-2.8000000000000007,-1.0
40,31.0,0.0020049775348525145,-3.500000000000001,-1.0
41,15.0,0.0010134198801097227,-2.0,-0.729
42,22.0,0.0015024989934318,-2.4000000000000004,-1.0
43,35.0,0.002378045813202334,-3.0000000000000004,-0.8592760741923331
44,9.0,0.0007567150523755117,-1.6,-0.81
45,31.0,0.00338723429467791,-3.800000000000001,-1.0
46,42.0,0.002825868793479458,-3.600000000000001,-0.7170199749824844
47,8.0,0.000656924577015161,-1.7999999999999998,-1.0
48,7.0,0.000501773309224518,-1.5,-0.7820363254586604
49,30.0,0.0023452524765161797,-3.9000000000000012,-0.98055
50,13.0,0.0010811222509801155,-2.3,-0.9
51,12.0,0.0008818939168122597,-1.7999999999999998,-0.68049
52,41.0,0.002869593243303825,-4.600000000000001,-0.7421865359273867
53,5.0,0.0005038890076320968,-1.3,-0.8247637304260376
54,29.0,0.0018773303545458475,-3.2000000000000006,-0.6880341689131727
55,9.0,0.0007348528288275702,-1.9,-0.612441
56,65.0,0.005015970002204995,-7.199999999999994,-0.9
