step,reward,mean,median,std,max,min
0,-0.0781287970838396,-0.0781287970838396,-0.0781287970838396,0.0,-0.0781287970838396,-0.0781287970838396
1,-0.0723,-0.0752143985419198,-0.0752143985419198,0.0029143985419197993,-0.0723,-0.0781287970838396
2,-0.0753,-0.07524293236127987,-0.0753,0.002379938570311717,-0.0723,-0.0781287970838396
3,-0.07833333333333332,-0.07601553260429324,-0.0767143985419198,0.002457399866801486,-0.0723,-0.07833333333333332
4,-0.0668,-0.07417242608343459,-0.0753,0.004291761628190857,-0.0668,-0.07833333333333332
5,-0.0679,-0.0731270217361955,-0.0738,0.004562203357349189,-0.0668,-0.07833333333333332
6,-0.07567567567567567,-0.07349111515612124,-0.0753,0.004316908378144257,-0.0668,-0.07833333333333332
7,-0.07705627705627704,-0.07393676039364071,-0.07548783783783783,0.004206712902754014,-0.0668,-0.07833333333333332
8,-0.0649,-0.0729326759054584,-0.0753,0.004878078344855976,-0.0649,-0.07833333333333332
9,-0.06935687263556115,-0.07257509557846867,-0.0738,0.0047504585796476805,-0.0649,-0.07833333333333332
10,-0.06702997275204359,-0.07207099350333912,-0.0723,0.004801719828315059,-0.0649,-0.07833333333333332
11,-0.07390000000000001,-0.0722234107113942,-0.0731,0.004625005757717731,-0.0649,-0.07833333333333332
12,-0.0654,-0.07169853296436388,-0.0723,0.004801166656314468,-0.0649,-0.07833333333333332
13,-0.07457983193277311,-0.07190434003353596,-0.0731,0.004685650651963436,-0.0649,-0.07833333333333332
14,-0.09238578680203044,-0.07326976981810225,-0.07390000000000001,0.006825922124438068,-0.0649,-0.09238578680203044
15,-0.07762237762237761,-0.07354180780586947,-0.07423991596638656,0.006692623330777235,-0.0649,-0.09238578680203044
16,-0.09467213114754099,-0.07478476800243838,-0.07457983193277311,0.008177752195229515,-0.0649,-0.09467213114754099
17,-0.11372549019607842,-0.0769481414576406,-0.07493991596638655,0.011946692351799964,-0.0649,-0.11372549019607842
18,-0.06659999999999999,-0.07640350243355426,-0.07457983193277311,0.011855423534880893,-0.0649,-0.11372549019607842
19,-0.08115384615384615,-0.07664101961956885,-0.07493991596638655,0.011601525231245713,-0.0649,-0.11372549019607842
20,-0.06857142857142856,-0.07625675337918121,-0.07457983193277311,0.01145160662900586,-0.0649,-0.11372549019607842
21,-0.062299999999999994,-0.07562235549830934,-0.07423991596638656,0.01155984824573047,-0.062299999999999994,-0.11372549019607842
22,-0.10074626865671639,-0.07671469954867487,-0.07457983193277311,0.012412527100624007,-0.062299999999999994,-0.11372549019607842
23,-0.0685,-0.07637242040081342,-0.07423991596638656,0.012261556854418381,-0.062299999999999994,-0.11372549019607842
24,-0.0678,-0.07602952358478088,-0.07390000000000001,0.012130697542559334,-0.062299999999999994,-0.11372549019607842
25,-0.06567164179104477,-0.07563114351579103,-0.0731,0.012060751528624717,-0.062299999999999994,-0.11372549019607842
26,-0.0691,-0.07538924931150248,-0.0723,0.011899394480666313,-0.062299999999999994,-0.11372549019607842
27,-0.08647686832740213,-0.07578523570492747,-0.0731,0.01186475219829093,-0.062299999999999994,-0.11372549019607842
28,-0.10322580645161288,-0.07673146228239938,-0.07390000000000001,0.012688095938664823,-0.062299999999999994,-0.11372549019607842
29,-0.07,-0.0765070802063194,-0.0731,0.012533219515739637,-0.062299999999999994,-0.11372549019607842
30,-0.0733,-0.07640362600611554,-0.0733,0.012342427899942355,-0.062299999999999994,-0.11372549019607842
31,-0.0709,-0.07623163769342443,-0.0728,0.012185730205203459,-0.062299999999999994,-0.11372549019607842
32,-0.07680491551459294,-0.07624900974861136,-0.0733,0.012000079985509378,-0.062299999999999994,-0.11372549019607842
33,-0.06659999999999999,-0.07596521534424043,-0.0728,0.011934167955532222,-0.062299999999999994,-0.11372549019607842
34,-0.07932330827067668,-0.07606116085642432,-0.0733,0.011775741404679324,-0.062299999999999994,-0.11372549019607842
35,-0.07089999999999999,-0.0759177952770792,-0.0728,0.011641974638750767,-0.062299999999999994,-0.11372549019607842
36,-0.06361256544502616,-0.07558522149783453,-0.0723,0.011655652763898548,-0.062299999999999994,-0.11372549019607842
37,-0.07789661319073084,-0.07564604759501602,-0.0728,0.011507216121185548,-0.062299999999999994,-0.11372549019607842
38,-0.07207792207792207,-0.07555455719714181,-0.0723,0.011372722583118168,-0.062299999999999994,-0.11372549019607842
39,-0.07060041407867494,-0.07543070361918014,-0.07218896103896104,0.011256269236338219,-0.062299999999999994,-0.11372549019607842
40,-0.09108280254777068,-0.07581246212963356,-0.0723,0.011377295280337197,-0.062299999999999994,-0.11372549019607842
41,-0.0751004016064257,-0.07579550830765243,-0.0728,0.011241559502235514,-0.062299999999999994,-0.11372549019607842
42,-0.0792,-0.07587468253305586,-0.0733,0.011121917119193803,-0.062299999999999994,-0.11372549019607842
43,-0.08076062639821027,-0.07598572671180938,-0.0736,0.011018891452757596,-0.062299999999999994,-0.11372549019607842
44,-0.09488817891373802,-0.07640578120518557,-0.07390000000000001,0.011246397219218192,-0.062299999999999994,-0.11372549019607842
45,-0.08220338983050846,-0.07653181617530129,-0.07423991596638656,0.011155566784367585,-0.062299999999999994,-0.11372549019607842
46,-0.07142857142857142,-0.07642323649983895,-0.07390000000000001,0.011060795084334451,-0.062299999999999994,-0.11372549019607842
47,-0.08620689655172414,-0.07662706275091986,-0.07423991596638656,0.011033813246532957,-0.062299999999999994,-0.11372549019607842
48,-0.0644,-0.07637753085804395,-0.07390000000000001,0.011056636837675552,-0.062299999999999994,-0.11372549019607842
49,-0.08918918918918917,-0.07663376402466686,-0.07423991596638656,0.011091499003527053,-0.062299999999999994,-0.11372549019607842
