params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",23.518756377951377,100,-0.08249762975253218,-0.08106796869546332,-0.15294117647058825,-0.0648,0.012080402660508449
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",28.063461453019954,100,-0.07717897813576197,-0.07483147705732583,-0.1056737588652482,-0.06439999999999999,0.008430561478179117
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",27.637532784520772,100,-0.07692713413311068,-0.0744151835605191,-0.10232558139534881,-0.0612094395280236,0.008721143052909332
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",29.536955269183636,100,-0.09036476997239379,-0.09098838302191811,-0.11458333333333333,-0.0668122270742358,0.009665476710832831
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",32.043203633924804,100,-0.0766947197280648,-0.07518918263400437,-0.10416666666666666,-0.0619,0.00913183640744605
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",30.309397018697837,100,-0.07412581800850497,-0.0712115107913669,-0.10222222222222221,-0.054599999999999996,0.008845010899572696
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",28.935883032868787,100,-0.07608744751720484,-0.07287241379310344,-0.12333333333333335,-0.058247422680412365,0.010704869680496535
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",25.112486785696092,100,-0.07556539908879334,-0.07244999999999999,-0.11875000000000001,-0.05778688524590163,0.010737753362750166
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",8.72862279976107,100,-0.08387045341635493,-0.07924034613674452,-0.16923076923076924,-0.05739910313901344,0.021250248144868176
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",19.729273024624945,100,-0.09203661801562343,-0.09166182988602785,-0.1285714285714286,-0.07591240875912408,0.00837159567100913
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",20.68259929152282,100,-0.08631266487029574,-0.08547418630751963,-0.11224489795918367,-0.0705,0.008437196620156113
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",23.695196516712713,100,-0.08016223442918026,-0.07848911551896207,-0.11875000000000001,-0.06344086021505377,0.009487543370654982
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",23.061581654349993,100,-0.07959921609722928,-0.07673612368024132,-0.11764705882352941,-0.0629,0.010452425063070609
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",24.754548576804154,100,-0.07546770055632444,-0.0734,-0.1125,-0.0583,0.009398740550330307
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",25.41880510955434,100,-0.08046417511517817,-0.0789381611675507,-0.10275229357798164,-0.06769999999999998,0.008018799012678456
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3594.2073279354795,100,-0.07582183687707722,-0.0727,-0.10927835051546392,-0.060599999999999994,0.010090125566596015
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",29.32820593651104,100,-0.07549664785073511,-0.07491226503401899,-0.10260869565217393,-0.058699999999999995,0.008532105580736932
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",9.276944309862301,100,-0.1114413047866391,-0.09486842105263157,-0.325,-0.048214285714285716,0.052335179294687034
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",14.221914623077282,100,-0.09291352427583148,-0.09179769945124525,-0.1310344827586207,-0.07025316455696203,0.008898689147021296
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",19.231472999095786,100,-0.08578745774138148,-0.0842293681698279,-0.1176470588235294,-0.0648972602739726,0.011472788892407921
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",19.999879052533288,100,-0.08432452683341522,-0.08155390230207749,-0.11714285714285716,-0.06489999999999999,0.010568242604705073
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",20.986231382728874,100,-0.0782956543225238,-0.07596897160169123,-0.12368421052631581,-0.06375266524520255,0.00980835430258126
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",20.94280912656177,100,-0.07585165400947963,-0.07362108626198083,-0.10250000000000001,-0.060599999999999994,0.009676359577160882
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.43213084047511,100,-0.07592290765435326,-0.0733069455680111,-0.10804597701149421,-0.05886524822695035,0.00906003000201929
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.515914994030027,100,-0.07248815685314255,-0.07075,-0.10714285714285712,-0.06089999999999999,0.00778132233651218
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",17.146731139070653,100,-0.0748640515147982,-0.07274294670846393,-0.10983606557377044,-0.05909999999999999,0.008361835496152248
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",9.844197800942311,100,-0.083705397457833,-0.07974697716077025,-0.15294117647058825,-0.05937499999999999,0.01680438018571773
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",31.49140144615103,100,-0.08604016002839902,-0.08555769880603739,-0.11999999999999997,-0.0691,0.010429500625982467
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",33.44136621976031,100,-0.08308444536034494,-0.08272947976878611,-0.10136986301369864,-0.06519607843137254,0.007896616710046121
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",33.20474819301671,100,-0.08576757666670959,-0.08504285992596922,-0.10703125000000002,-0.0718,0.007215895018774961
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",38.1007344296886,100,-0.07510224409468083,-0.0726031914893617,-0.10493827160493827,-0.06420000000000001,0.008781381211720644
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",36.43050950971519,100,-0.07603225835008548,-0.07390884676145339,-0.10430107526881718,-0.06344827586206896,0.00871579365629964
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",35.93533330371338,100,-0.07551829607963384,-0.07388884758364311,-0.09886363636363636,-0.06280788177339902,0.008460581409437225
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",39.14597371878517,100,-0.07547848207526599,-0.07229958448753462,-0.11016949152542371,-0.06029999999999999,0.009820107226071058
