step,reward,mean,median,std,max,min
0,-0.07170900692840645,-0.07170900692840645,-0.07170900692840645,0.0,-0.07170900692840645,-0.07170900692840645
1,-0.0689655172413793,-0.07033726208489288,-0.07033726208489288,0.0013717448435135796,-0.0689655172413793,-0.07170900692840645
2,-0.10416666666666667,-0.08161373027881748,-0.07170900692840645,0.01598661708432995,-0.0689655172413793,-0.10416666666666667
3,-0.08183421516754849,-0.08166885150100023,-0.07677161104797747,0.013845145697974705,-0.0689655172413793,-0.10416666666666667
4,-0.06595238095238094,-0.07852555739127637,-0.07170900692840645,0.01388782340611432,-0.06595238095238094,-0.10416666666666667
5,-0.08816705336426914,-0.08013247338677516,-0.07677161104797747,0.013177149194058,-0.06595238095238094,-0.10416666666666667
6,-0.076,-0.07954212004580728,-0.076,0.012285073882659639,-0.06595238095238094,-0.10416666666666667
7,-0.07440000000000001,-0.07889935504008137,-0.0752,0.011616784763122109,-0.06595238095238094,-0.10416666666666667
8,-0.08493626882966394,-0.07957012323892389,-0.076,0.011115517002897318,-0.06595238095238094,-0.10416666666666667
9,-0.07287933094384708,-0.0789010440094162,-0.0752,0.010734442209810287,-0.06595238095238094,-0.10416666666666667
10,-0.07563176895306857,-0.07860383718611187,-0.07563176895306857,0.010277950822016204,-0.06595238095238094,-0.10416666666666667
11,-0.0790960451977401,-0.07864485452041421,-0.07581588447653428,0.009841329025101958,-0.06595238095238094,-0.10416666666666667
12,-0.08237454100367196,-0.07893175348066482,-0.076,0.00950733159139287,-0.06595238095238094,-0.10416666666666667
13,-0.0765,-0.07875805680347447,-0.07625,0.009182874741855264,-0.06595238095238094,-0.10416666666666667
14,-0.10399999999999998,-0.08044085301657618,-0.0765,0.010878821288045952,-0.06595238095238094,-0.10416666666666667
15,-0.08422535211267605,-0.08067738421008241,-0.07779802259887006,0.010573133909167445,-0.06595238095238094,-0.10416666666666667
16,-0.06524822695035461,-0.07976978672421609,-0.0765,0.010880943946904253,-0.06524822695035461,-0.10416666666666667
17,-0.07039106145251395,-0.07924874643134373,-0.07625,0.010790396434757663,-0.06524822695035461,-0.10416666666666667
18,-0.0818,-0.07938302293495722,-0.0765,0.010518039929740531,-0.06524822695035461,-0.10416666666666667
19,-0.07551020408163264,-0.079189381992291,-0.07625,0.010286405846761638,-0.06524822695035461,-0.10416666666666667
20,-0.07809999999999999,-0.07913750665932476,-0.0765,0.010041184586627857,-0.06524822695035461,-0.10416666666666667
21,-0.0841340782122905,-0.07936462354809594,-0.0773,0.009865375787561413,-0.06524822695035461,-0.10416666666666667
22,-0.07084870848708485,-0.07899436637153023,-0.0765,0.009803574765305849,-0.06524822695035461,-0.10416666666666667
23,-0.08007761966364813,-0.07903950192536847,-0.0773,0.009599601429602112,-0.06524822695035461,-0.10416666666666667
24,-0.07180067950169874,-0.07874994902842168,-0.0765,0.009512015287311982,-0.06524822695035461,-0.10416666666666667
25,-0.07134831460674157,-0.07846527078143398,-0.07625,0.009435281534366336,-0.06524822695035461,-0.10416666666666667
26,-0.07675879396984923,-0.07840206793656047,-0.0765,0.009264512514150308,-0.06524822695035461,-0.10416666666666667
27,-0.07840000000000001,-0.07840199408168332,-0.07662939698492462,0.0090975706951568,-0.06524822695035461,-0.10416666666666667
28,-0.0652733118971061,-0.07794928090290479,-0.0765,0.009254748939297102,-0.06524822695035461,-0.10416666666666667
29,-0.07909999999999999,-0.0779876382061413,-0.07662939698492462,0.009101540118595819,-0.06524822695035461,-0.10416666666666667
30,-0.0765,-0.07793964987691092,-0.0765,0.008957394951933498,-0.06524822695035461,-0.10416666666666667
31,-0.08312101910828025,-0.07810156766539122,-0.07662939698492462,0.008862297750402355,-0.06524822695035461,-0.10416666666666667
32,-0.08237410071942446,-0.07823103836399829,-0.07675879396984923,0.008757666176237461,-0.06524822695035461,-0.10416666666666667
33,-0.08187919463087248,-0.07833833707772989,-0.07742939698492461,0.008649905232170869,-0.06524822695035461,-0.10416666666666667
34,-0.07540000000000001,-0.07825438458979475,-0.07675879396984923,0.008539482088582174,-0.06524822695035461,-0.10416666666666667
35,-0.07493540051679584,-0.07816219058776701,-0.07662939698492462,0.008437690025506284,-0.06524822695035461,-0.10416666666666667
36,-0.07730000000000001,-0.07813888813944898,-0.07675879396984923,0.00832406045059845,-0.06524822695035461,-0.10416666666666667
37,-0.08511749347258483,-0.07832253564821572,-0.07702939698492461,0.008289417281857211,-0.06524822695035461,-0.10416666666666667
38,-0.07419999999999999,-0.07821682960595377,-0.07675879396984923,0.008208357530212365,-0.06524822695035461,-0.10416666666666667
39,-0.0741,-0.07811390886580492,-0.07662939698492462,0.008130548535096377,-0.06524822695035461,-0.10416666666666667
40,-0.07286245353159851,-0.07798582458936087,-0.0765,0.008071536761727593,-0.06524822695035461,-0.10416666666666667
41,-0.06822916666666666,-0.07775352321024911,-0.0765,0.00811240059336297,-0.06524822695035461,-0.10416666666666667
42,-0.07436194895591647,-0.0776746493903809,-0.0765,0.008033793583572056,-0.06524822695035461,-0.10416666666666667
43,-0.0909967845659164,-0.0779774251898249,-0.0765,0.008186386645016834,-0.06524822695035461,-0.10416666666666667
44,-0.11071428571428572,-0.07870491097925736,-0.0765,0.009424119402954036,-0.06524822695035461,-0.11071428571428572
45,-0.0894736842105263,-0.07893901474515451,-0.07662939698492462,0.009452486054392188,-0.06524822695035461,-0.11071428571428572
46,-0.06063348416289592,-0.0785495353710639,-0.0765,0.009717323293221667,-0.06063348416289592,-0.11071428571428572
47,-0.0783,-0.07854433671750007,-0.07662939698492462,0.009615634462889853,-0.06063348416289592,-0.11071428571428572
