episode,length,time,reward,delta
0,13.0,0.0009686375810815662,-2.3,-1.0002530786178618
1,2.0,0.0002027544992415642,-1.2,-1.000097161013551
2,6.0,0.00043794971861643717,-1.2,-0.9093176495231825
3,13.0,0.0008579159939472447,-1.7,-1.000066724540594
4,5.0,0.0003794153758462926,-1.5,-1.000185870486088
5,7.0,0.0004961314443789888,-1.4,-1.000156174993099
6,17.0,0.0011653975998342503,-2.0,-0.9998935939404197
7,4.0,0.00032511243216504226,-1.4,-0.9998804336111555
8,17.0,0.0010821801010933996,-2.3,-0.9994281064553866
9,10.0,0.0006675030731457809,-1.9,-0.9999586847837755
10,17.0,0.001073012071174162,-2.3,-0.09998935939404197
11,44.0,0.0026502657669880136,-5.300000000000001,-0.9098653123520279
12,57.0,0.003407686052923964,-5.5,-0.09998804336111555
13,5.0,0.0003705999629346479,-1.4,-0.818832318318407
14,11.0,0.0007207481676232419,-1.9,-0.9099818734691993
15,21.0,0.0014943888136258465,-2.0,-0.6885853321576003
16,12.0,0.0007965607196638302,-1.7,-0.7474991080096569
17,7.0,0.0004947209781676065,-1.6,-0.8858650687031121
18,17.0,0.0010899376643465075,-2.4000000000000004,-0.10000971610135523
19,16.0,0.0010243509918836935,-2.3,-0.999594238780566
20,17.0,0.0010811222514348628,-2.2,-0.9999600923457056
21,21.0,0.0013071494408904982,-1.7999999999999998,-0.999629559832751
22,12.0,0.0007859822239879577,-1.9,-0.9994663233282398
23,26.0,0.0016114574978018936,-3.1000000000000005,-1.0001999258231276
24,10.0,0.0006713818547723349,-2.0,-0.7249848278993084
25,21.0,0.0013194910193305986,-3.0000000000000004,-0.09995942387805656
26,2.0,0.0002859719979824149,-1.2,-0.8172832098578336
27,7.0,0.0004971892935827782,-1.5,-0.6808234828336168
28,48.0,0.0028798191219721048,-4.300000000000002,-0.9094595734346479
29,31.0,0.0018907297821897373,-3.1000000000000005,-0.6707255583712017
30,20.0,0.001248615098575101,-2.8000000000000007,-0.06707255583712024
31,12.0,0.0007821034419066564,-2.0999999999999996,-0.8138318055625016
32,9.0,0.0006057951818547735,-1.9,-0.9995616140373516
33,14.0,0.0008959985784713353,-2.3,-0.07474991080096571
34,7.0,0.00048696341491449857,-1.4,-0.7283509756583793
35,31.0,0.0018903771656368917,-3.2000000000000006,-0.09999586847837749
36,20.0,0.0014548957628903736,-3.0000000000000004,-1.0003604887527782
37,6.0,0.0004358340192993637,-1.4,-0.6649239001744357
38,42.0,0.002546596510001109,-4.200000000000001,-0.9996392168267834
39,45.0,0.002701747779155994,-4.700000000000002,-1.0001536620697764
40,9.0,0.0005998007009111461,-1.9,-0.7232908004057215
41,49.0,0.0029253066527417104,-4.900000000000002,-0.9999007648880504
42,11.0,0.0007179272356552246,-2.0,-0.7549802731833334
43,11.0,0.0007151063036872074,-2.0,-0.6419147829350078
44,5.0,0.0003670737978609395,-1.4,-0.6081906350297983
45,57.0,0.0034753884247038513,-5.000000000000002,-0.5527207606493363
46,21.0,0.0012997444941902359,-2.2,-0.6979522644573712
47,27.0,0.0016625868934170285,-2.7,-0.6881164628620211
48,8.0,0.0005426768248071312,-1.6,-0.06979522644573721
49,13.0,0.000836759003050247,-2.0999999999999996,-0.09094595734346478
50,2.0,0.00019076553735430934,-1.2,-0.06885853321575996
51,20.0,0.0012468520158108731,-2.2,-1.000075470309737
52,17.0,0.0010666649741324363,-2.7,-0.0641914782935008
53,8.0,0.0005426768248071312,-1.4,-0.6109722445392891
54,2.0,0.00018829722193913767,-1.2,-0.6099270759372454
55,12.0,0.0007687040142627666,-2.0,-0.6722746358690981
56,6.0,0.0004982471432413149,-1.5,-0.9096200806380119
57,21.0,0.0013219593347457703,-3.0000000000000004,-0.8452084156994317
58,16.0,0.0010218826760137745,-2.3,-0.9995053345189251
59,9.0,0.0006043847160981386,-1.3,-0.7519436502280823
60,40.0,0.0024193019462472876,-4.100000000000001,-0.999735675101119
61,10.0,0.0006632716749663814,-2.0,-0.6142239121216851
62,14.0,0.0008995247430902964,-2.2,-0.5550668782204811
63,7.0,0.0004911948130938981,-1.7,-0.8943248857091997
64,19.0,0.0011957226201957383,-2.3,-0.9996657349064444
65,18.0,0.0011343673463670711,-2.6000000000000005,-0.07549802731833333
66,24.0,0.001481342002080055,-2.3,-0.9094604105643296
67,10.0,0.0006675030731457809,-1.7,-0.6374954381159526
68,48.0,0.0028752351072398596,-4.8000000000000025,-0.009995942387805656
