params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",17.55372077426125,100,-0.0847179740398213,-0.08467888995062908,-0.11707317073170731,-0.037500000000000006,0.009943604460132394
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",23.169302122539875,100,-0.0789602108768564,-0.07871368078175894,-0.10033783783783783,-0.06140350877192981,0.007517634951429645
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",25.992560849269807,100,-0.07968820973854339,-0.07963509933774834,-0.10263157894736845,-0.06375838926174496,0.00674739680240395
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",22.07434954593566,100,-0.08422753517730572,-0.08167010598441285,-0.135,-0.06375838926174497,0.013108508076140848
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",19.59645683868007,100,-0.08040689250130344,-0.08039729088116185,-0.10666666666666669,-0.057843137254901936,0.008508383939259352
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",21.3135314473991,100,-0.08736651839754792,-0.08707674080868302,-0.10116279069767439,-0.0673076923076923,0.006546329886236377
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",19.97247369657066,100,-0.07748819489668125,-0.07601020408163264,-0.12000000000000002,-0.032,0.011173306384574824
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",14.801672248586101,100,-0.08276328038779113,-0.08192222222222223,-0.12000000000000002,-0.065,0.009266518326372677
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.536189386101682,100,-0.09248845726014762,-0.08683510638297871,-0.14615384615384613,-0.0475,0.02150072578069485
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",15.89397314895723,100,-0.08943176475770986,-0.08972007441427822,-0.13333333333333336,-0.060416666666666674,0.011276859428221209
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",18.177555464815555,100,-0.08287990188977476,-0.08214848484848486,-0.12424242424242424,-0.06142857142857142,0.009879871891796434
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",20.189143148907874,100,-0.08457855736559086,-0.08411008583690988,-0.10491803278688522,-0.061864406779661006,0.007289572314651892
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",17.136749623229207,100,-0.08068030584578198,-0.07901807228915662,-0.14705882352941177,-0.046153846153846156,0.013233811529315498
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",17.223569452407673,100,-0.08311236665635006,-0.08324999999999999,-0.12692307692307694,-0.05393258426966291,0.009309548859548296
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",14.970207077577925,100,-0.07942467213730993,-0.07857566362594484,-0.13000000000000003,-0.05333333333333335,0.010922381154652563
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",17.16811592056547,100,-0.07658754670148296,-0.0761597014925373,-0.1347826086956522,-0.057499999999999996,0.010347364794821696
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",12.386590064253824,100,-0.07917472598844609,-0.07647361563517915,-0.15714285714285717,-0.05590277777777778,0.012738953679996133
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.238552128357924,100,-0.0967210696178179,-0.09231577472681421,-0.18181818181818182,-0.05693430656934307,0.025828764842304962
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",9.670660048759828,100,-0.0842625543214575,-0.08329807266698175,-0.14285714285714288,-0.05937499999999999,0.011252891505214833
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",8.97264330511689,100,-0.08329191536385734,-0.08349999999999999,-0.11578947368421054,-0.05087719298245613,0.009427765599551378
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",9.737912481990179,100,-0.07980170703520756,-0.07763299377475948,-0.11923076923076924,-0.05384615384615383,0.011336578892798144
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.942530559510715,100,-0.08481507633724203,-0.08115,-0.14090909090909093,-0.06136363636363636,0.01382528371268425
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",11.455368269167593,100,-0.07847474238782719,-0.07515913770913771,-0.128,-0.03611111111111112,0.0139047344177907
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",10.64334848879139,100,-0.08883967747777842,-0.08734884051785458,-0.13636363636363638,-0.056000000000000015,0.012587701694031153
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.07593984644268,100,-0.0813781695343695,-0.07955928610503282,-0.11842105263157894,-0.06086956521739131,0.01196594114199181
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.27611883458826,100,-0.07718559472975607,-0.0761952380952381,-0.1142857142857143,-0.05113636363636364,0.009644989776484321
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.528749530138384,100,-0.09254848062857274,-0.09122138001094005,-0.1642857142857143,-0.057950530035335686,0.019835225530723456
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",19.754364158364297,100,-0.08938145008668455,-0.08917580872011252,-0.1375,-0.05600000000000001,0.011226918975014941
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",23.209749353125062,100,-0.0873462193848955,-0.08750079365079363,-0.12903225806451615,-0.046666666666666676,0.009266783541306091
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",18.4720819396166,100,-0.09013131634199238,-0.08930023032109469,-0.1310344827586207,-0.06638176638176638,0.009536774381961375
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.921488873890894,100,-0.07947054795573172,-0.07915,-0.1347826086956522,-0.04597156398104265,0.010878880136266905
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",20.74311957014629,100,-0.08254986714306513,-0.08204940363760464,-0.12380952380952384,-0.05517241379310345,0.01152507311905495
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.073597414897904,100,-0.07644220189357649,-0.07685,-0.10277777777777776,-0.04778761061946902,0.009105717225595522
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.57664931088152,100,-0.07882838625314467,-0.07631138211382113,-0.11428571428571428,-0.061099999999999995,0.009063579141767296
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",14.152160728251829,100,-0.07871296041693257,-0.07653224595987392,-0.11944444444444446,-0.058258258258258255,0.010623434192955486
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.438800229341723,100,-0.15211549499588833,-0.11455026455026456,-0.39999999999999997,-0.05490196078431373,0.09405892207164226
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",14.117730193353736,100,-0.09139051690331776,-0.08992115311743959,-0.16666666666666666,-0.06999999999999997,0.013335610153312583
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",17.49927078903579,100,-0.08506392137957436,-0.08450085499635573,-0.12380952380952384,-0.06652360515021459,0.008180439148003305
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",17.199505137975166,100,-0.08741526667492852,-0.08449464060529635,-0.14666666666666667,-0.058620689655172434,0.012034338613785523
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",18.02687396286683,100,-0.07896132335007837,-0.07815,-0.12647058823529414,-0.048888888888888905,0.009201145361254645
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",16.468384755400393,100,-0.087226579638361,-0.08625000000000002,-0.11379310344827587,-0.048148148148148155,0.010048976048057297
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",15.647339402568832,100,-0.08878319064645097,-0.08729390948963317,-0.1380952380952381,-0.03076923076923077,0.012017086952712103
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",14.758795137559218,100,-0.07866711860575655,-0.07745125413757445,-0.11276595744680849,-0.046511627906976744,0.010893610567266367
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",11.154846255670918,100,-0.0777491025900566,-0.07649431438127091,-0.11458333333333333,-0.054901960784313725,0.010623831961478796
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.132054534260533,100,-0.09071552057233873,-0.08802008608321375,-0.14500000000000002,-0.053383458646616554,0.01977382516482686
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",8.635912864226384,100,-0.09121583549838781,-0.08991503496503496,-0.16000000000000003,-0.051428571428571435,0.013253157924021422
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",9.48796237722786,100,-0.07938087932953664,-0.07854324894514768,-0.11951219512195123,-0.05357142857142859,0.009260632185364218
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.335609472972465,100,-0.07861734965553914,-0.07706926256804883,-0.12413793103448277,-0.054545454545454564,0.011336303942764154
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",9.179887670481321,100,-0.08463903417560996,-0.08572338428533119,-0.11363636363636366,-0.05999999999999999,0.00873925944491351
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",9.514868075581262,100,-0.08881767823143326,-0.08891791574648535,-0.14117647058823532,-0.059999999999999984,0.011562740683304153
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.533556398544079,100,-0.08338809286340661,-0.08306843971631206,-0.13333333333333336,-0.05757575757575758,0.012033560706986756
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",9.186560232896,100,-0.07842848165618424,-0.07665,-0.1388888888888889,-0.06249999999999999,0.010196113508575856
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",5.710730332284584,100,-0.08190629560052437,-0.07958465076171313,-0.132,-0.05822784810126583,0.010958041918222347
"{""alpha"": 0.1, ""q_init"": 0.1, ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.6198716334818073,100,-0.11102819209680803,-0.10811403508771933,-0.18181818181818182,-0.0642857142857143,0.021491246914538756
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",21.58461103929494,100,-0.08962431295869898,-0.08793085517323349,-0.128125,-0.051612903225806465,0.010266042288173854
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",22.839692419661787,100,-0.08284062302588835,-0.08207137404580153,-0.11599999999999998,-0.05319148936170215,0.009325096277875786
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",22.134523907752737,100,-0.08238767881337489,-0.08232873396272089,-0.12916666666666668,-0.0576086956521739,0.010504150276874749
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",25.048466788107817,100,-0.08854740198632982,-0.08661008097432855,-0.19,-0.06666666666666667,0.01480768667237108
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",21.32199565435394,100,-0.08907466667687752,-0.08789171270718232,-0.13636363636363638,-0.05517241379310347,0.012119135031241892
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",21.933445747480164,100,-0.07862820080134139,-0.07652382425742574,-0.14,-0.05945945945945944,0.010823033047627
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",21.425356019269657,100,-0.07921781484718214,-0.07824131092787807,-0.10169491525423727,-0.0647,0.007634880303355238
