steps,time,reward,delta,converged
1,0.07205824378615944,-0.08311688311688266,0.023385709778565925,False
2,0.029469220457031042,-0.07971014492753675,1.0,False
3,0.07252616590994876,-0.08591408591408531,1.0,False
4,0.037265924336679745,-0.07812500000000064,1.0,False
5,0.07343979531287914,-0.07582417582417579,1.0,False
6,0.052503542032354744,-0.0838192419825081,1.0,False
7,0.061376431534881704,-0.07120853080568791,1.0,False
8,0.07270353201784019,-0.06853146853146891,1.0,False
9,0.0721566237971274,-0.07982017982017955,1.0,False
10,0.06391421263288066,-0.07136363636363709,1.0,False
11,0.027735052410207572,-0.07333333333333376,1.0,False
12,0.03628247686174291,-0.05936170212765987,1.0,False
13,0.07136711540624674,-0.06963036963036995,1.0,False
14,0.07123982084340241,-0.07582417582417579,1.0,False
15,0.07304874359215319,-0.0774225774225773,1.0,False
16,0.03607513834867859,-0.07676767676767735,1.0,False
17,0.042803061558515765,-0.06826758147512918,1.0,False
18,0.07419086850131862,-0.07102897102897127,1.0,False
19,0.036432691500522196,-0.07172557172557222,1.0,False
20,0.07277088177397673,-0.06583416583416636,1.0,False
21,0.07055116077935963,-0.07962037962037936,1.0,False
22,0.02066438594192732,-0.05441176470588221,1.0,False
23,0.03344885050501034,-0.08063829787234103,1.0,False
24,0.07183433229511138,-0.05294705294705343,1.0,False
25,0.07100427300792944,-0.05664335664335718,1.0,False
26,0.0718692413320241,-0.05374625374625424,1.0,False
27,0.07058360149858345,-0.041458541458541776,1.0,False
28,0.07196903180556546,-0.06123876123876184,1.0,False
29,0.034953465197759215,-0.05487804878048806,1.0,False
30,0.03954347444232553,-0.06528776978417312,1.0,False
31,0.05634670948893472,-0.05531645569620299,1.0,False
32,0.07227545556270343,-0.06003996003996062,1.0,False
33,0.07151838789468457,-0.05924075924075981,1.0,False
34,0.07173806798709847,-0.06443556443556504,1.0,False
35,0.015351865447883029,-0.04881516587677714,1.0,False
36,0.047322547497969936,-0.05371179039301349,1.0,False
37,0.05730512119043851,-0.05833333333333385,1.0,False
38,0.07109277975359873,-0.059440559440560016,1.0,False
39,0.05005744123081968,-0.06346433770014609,1.0,False
40,0.07027083064531325,-0.05534465534465586,1.0,False
41,0.07355862708027416,-0.05514485514485566,1.0,False
42,0.06988542078761384,-0.05485893416927951,1.0,False
43,0.0717821450507472,-0.04675324675324715,1.0,False
44,0.07336504061095184,-0.03616383616383641,1.0,False
45,0.048710093507907004,-0.048240469208211456,1.0,False
46,0.07130963891358988,-0.05214785214785262,1.0,False
47,0.07302123950285022,-0.038561438561438836,1.0,False
48,0.06999614237429341,-0.038161838161838435,1.0,False
49,0.07191578671154275,-0.050549450549451,1.0,False
50,0.07328570189383754,-0.06353646353646417,1.0,False
51,0.07308999972519814,-0.057742257742258295,1.0,False
52,0.07391089098564407,-0.052347652347652825,1.0,False
53,0.04462608896938036,-0.04742589703588171,1.0,False
54,0.07016363522234315,-0.061038961038961635,1.0,False
55,0.05417635480625904,-0.053448275862069385,1.0,False
56,0.07172502117464319,-0.05584415584415637,1.0,False
57,0.02362565948169504,-0.06695652173913065,1.0,False
58,0.07225465118972352,-0.048151848151848566,1.0,False
59,0.07205683332176704,-0.04885114885114927,1.0,False
60,0.07309141019140952,-0.048051948051948463,1.0,False
61,0.07050320493181061,-0.04575424575424614,1.0,False
62,0.06327773981138307,-0.04804597701149464,1.0,False
63,0.07447754573149723,-0.05204795204795252,1.0,False
64,0.07366335418737435,-0.04375624375624411,1.0,False
65,0.023687367371167056,-0.060897435897435945,1.0,False
66,0.07253991795369075,-0.05244755244755292,1.0,False
67,0.07183468491348322,-0.05244755244755292,1.0,False
68,0.044474111247836845,-0.058347676419965966,1.0,False
69,0.073355519964025,-0.052647352647353124,1.0,False
70,0.07523849218341638,-0.044855144855145225,1.0,False
71,0.07514469618945441,-0.04545454545454583,1.0,False
72,0.0732969856235286,-0.053246753246753736,1.0,False
73,0.0744341738991352,-0.04585414585414624,1.0,False
74,0.07118763359721925,-0.04585414585414624,1.0,False
75,0.0747176775821572,-0.04455544455544492,1.0,False
76,0.07908412795586628,-0.04825174825174867,1.0,False
77,0.07721314469745266,-0.048151848151848566,1.0,False
78,0.07406992103642551,-0.04905094905094948,1.0,False
79,0.07112627832248108,-0.048651348651349076,1.0,False
80,0.07357907883852022,-0.048151848151848566,1.0,False
81,0.0518043034717266,-0.03623789764868619,1.0,False
82,0.03980335281812586,-0.05285714285714315,1.0,False
83,0.07253674440471514,-0.04875124875124917,1.0,False
84,0.07096407472454302,-0.0428571428571432,1.0,False
85,0.07561649709350604,-0.05204795204795252,1.0,False
86,0.07080328159099736,-0.05244755244755292,1.0,False
87,0.07642046275941539,-0.04755244755244796,1.0,False
88,0.06985192221873149,-0.050649350649351096,1.0,False
89,0.0735843680868129,-0.045154845154845524,1.0,False
90,0.07416900627686118,-0.053946053946054444,1.0,False
91,0.024419399267571862,-0.062195121951219616,1.0,False
92,0.07284246292692842,-0.048951048951049375,1.0,False
93,0.07534850853699027,-0.04795204795204836,1.0,False
94,0.07169716447060637,-0.05554445554445606,1.0,False
95,0.07742154106017551,-0.04465534465534502,1.0,False
96,0.07270882126795186,-0.04785214785214826,1.0,False
97,0.04640574454788293,-0.056645569620253564,1.0,False
98,0.07450787075322296,-0.03426573426573448,1.0,False
99,0.07136112092484836,-0.045154845154845524,1.0,False
100,0.07152050359218265,-0.046053946053946436,1.0,False
101,0.06942631407946465,-0.03806193806193833,1.0,False
102,0.05255749235948315,-0.0571428571428576,1.0,False
103,0.07052612500592659,-0.0433566433566437,1.0,False
104,0.07272715732506185,-0.04765234765234806,1.0,False
105,0.07277546578916372,-0.046453546453546844,1.0,False
106,0.07447719311676337,-0.04375624375624411,1.0,False
107,0.07313760295619431,-0.04415584415584451,1.0,False
108,0.07453114344389178,-0.04265734265734299,1.0,False
109,0.07318696926813573,-0.04695304695304735,1.0,False
110,0.07479877938385471,-0.04455544455544492,1.0,False
111,0.07446449892086093,-0.04905094905094948,1.0,False
