step,reward,mean,median,std,max,min
0,-0.04639999999999999,-0.04639999999999999,-0.04639999999999999,0.0,-0.04639999999999999,-0.04639999999999999
1,-0.0414,-0.043899999999999995,-0.043899999999999995,0.0024999999999999953,-0.0414,-0.04639999999999999
2,-0.041299999999999996,-0.04303333333333333,-0.0414,0.0023809428571238056,-0.041299999999999996,-0.04639999999999999
3,-0.045899999999999996,-0.04375,-0.043649999999999994,0.002406761309311746,-0.041299999999999996,-0.04639999999999999
4,-0.0444,-0.043879999999999995,-0.0444,0.0021683173199511163,-0.041299999999999996,-0.04639999999999999
5,-0.046,-0.044233333333333326,-0.045149999999999996,0.0021312489817527694,-0.041299999999999996,-0.04639999999999999
6,-0.0536,-0.04557142857142856,-0.045899999999999996,0.003825745225523029,-0.041299999999999996,-0.0536
7,-0.04919999999999999,-0.046024999999999996,-0.04595,0.00377450327857852,-0.041299999999999996,-0.0536
8,-0.0381,-0.045144444444444445,-0.045899999999999996,0.004343606057211784,-0.0381,-0.0536
9,-0.038299999999999994,-0.04446,-0.045149999999999996,0.004603954821672341,-0.0381,-0.0536
10,-0.0415,-0.044190909090909086,-0.0444,0.004471415180791005,-0.0381,-0.0536
11,-0.0461,-0.04435,-0.045149999999999996,0.0043134479634433205,-0.0381,-0.0536
12,-0.0479,-0.044623076923076925,-0.045899999999999996,0.004250819621628433,-0.0381,-0.0536
13,-0.0486,-0.04490714285714286,-0.04595,0.004222298677551006,-0.0381,-0.0536
14,-0.0458,-0.04496666666666667,-0.045899999999999996,0.004085203653294274,-0.0381,-0.0536
15,-0.048799999999999996,-0.045206249999999996,-0.04595,0.004062860560922562,-0.0381,-0.0536
16,-0.0438,-0.0451235294117647,-0.045899999999999996,0.003955417641630677,-0.0381,-0.0536
17,-0.047599999999999996,-0.045261111111111106,-0.04595,0.003885605756991492,-0.0381,-0.0536
18,-0.0433,-0.0451578947368421,-0.045899999999999996,0.003807239058960911,-0.0381,-0.0536
19,-0.044899999999999995,-0.04514499999999999,-0.04585,0.003711263262017395,-0.0381,-0.0536
20,-0.0405,-0.04492380952380951,-0.0458,0.0037544772969406305,-0.0381,-0.0536
21,-0.04569999999999999,-0.0449590909090909,-0.04575,0.0036717173453934067,-0.0381,-0.0536
22,-0.050199999999999995,-0.04518695652173912,-0.0458,0.003746685996268085,-0.0381,-0.0536
23,-0.0448,-0.04517083333333333,-0.04575,0.0036686145394261415,-0.0381,-0.0536
24,-0.04909999999999999,-0.04532799999999999,-0.0458,0.0036760326440335093,-0.0381,-0.0536
25,-0.05199999999999999,-0.045584615384615376,-0.04585,0.00382619436432723,-0.0381,-0.0536
26,-0.04359999999999999,-0.045511111111111106,-0.0458,0.003773330715873976,-0.0381,-0.0536
27,-0.041,-0.045349999999999994,-0.04575,0.003798730991114945,-0.0381,-0.0536
28,-0.046099999999999995,-0.04537586206896551,-0.0458,0.003735168848365841,-0.0381,-0.0536
29,-0.0495,-0.04551333333333333,-0.04585,0.003746263323485,-0.0381,-0.0536
30,-0.0455,-0.04551290322580645,-0.0458,0.003685345165738855,-0.0381,-0.0536
31,-0.0458,-0.045521875,-0.0458,0.003627648547527033,-0.0381,-0.0536
