step,reward,mean,median,std,max,min
0,-0.044899999999999995,-0.044899999999999995,-0.044899999999999995,0.0,-0.044899999999999995,-0.044899999999999995
1,-0.04539999999999999,-0.045149999999999996,-0.045149999999999996,0.00024999999999999675,-0.044899999999999995,-0.04539999999999999
2,-0.0481,-0.04613333333333333,-0.04539999999999999,0.0014055445761538695,-0.044899999999999995,-0.0481
3,-0.0495,-0.046975,-0.04674999999999999,0.0018991774535308738,-0.044899999999999995,-0.0495
4,-0.045899999999999996,-0.04676,-0.045899999999999996,0.001752255689104764,-0.044899999999999995,-0.0495
5,-0.04489999999999999,-0.04645,-0.045649999999999996,0.001743320586314141,-0.04489999999999999,-0.0495
6,-0.0469,-0.046514285714285716,-0.045899999999999996,0.0016216645517391562,-0.04489999999999999,-0.0495
7,-0.04639999999999999,-0.0465,-0.04615,0.0015173990905493553,-0.04489999999999999,-0.0495
8,-0.04309999999999999,-0.04612222222222222,-0.045899999999999996,0.0017856077569635516,-0.04309999999999999,-0.0495
9,-0.050899999999999994,-0.046599999999999996,-0.04615,0.002219008787724828,-0.04309999999999999,-0.050899999999999994
10,-0.04959999999999999,-0.04687272727272727,-0.04639999999999999,0.002284768104043867,-0.04309999999999999,-0.050899999999999994
11,-0.0474,-0.04691666666666666,-0.04665,0.0021923478029019245,-0.04309999999999999,-0.050899999999999994
12,-0.047099999999999996,-0.04693076923076923,-0.0469,0.002106906085813479,-0.04309999999999999,-0.050899999999999994
13,-0.0467,-0.04691428571428571,-0.046799999999999994,0.00203113520083761,-0.04309999999999999,-0.050899999999999994
14,-0.0457,-0.046833333333333324,-0.0467,0.0019855030149113916,-0.04309999999999999,-0.050899999999999994
15,-0.042699999999999995,-0.04657499999999999,-0.046549999999999994,0.0021672274915199847,-0.042699999999999995,-0.050899999999999994
16,-0.0443,-0.04644117647058823,-0.04639999999999999,0.0021695916730301266,-0.042699999999999995,-0.050899999999999994
17,-0.05,-0.04663888888888888,-0.046549999999999994,0.0022605650446265997,-0.042699999999999995,-0.050899999999999994
18,-0.044,-0.0465,-0.04639999999999999,0.0022778105831327555,-0.042699999999999995,-0.050899999999999994
19,-0.045599999999999995,-0.046454999999999996,-0.04615,0.0022287833003681637,-0.042699999999999995,-0.050899999999999994
20,-0.0455,-0.0464095238095238,-0.045899999999999996,0.002184557220452948,-0.042699999999999995,-0.050899999999999994
21,-0.047799999999999995,-0.04647272727272727,-0.04615,0.002153893265309846,-0.042699999999999995,-0.050899999999999994
22,-0.047799999999999995,-0.046530434782608696,-0.04639999999999999,0.002123867428641051,-0.042699999999999995,-0.050899999999999994
23,-0.046799999999999994,-0.04654166666666667,-0.046549999999999994,0.0020798470830541587,-0.042699999999999995,-0.050899999999999994
24,-0.047099999999999996,-0.046563999999999994,-0.0467,0.002040760642505633,-0.042699999999999995,-0.050899999999999994
25,-0.04769999999999999,-0.04660769230769231,-0.04675,0.0020130197516939723,-0.042699999999999995,-0.050899999999999994
26,-0.0474,-0.04663703703703703,-0.046799999999999994,0.0019810487585653833,-0.042699999999999995,-0.050899999999999994
27,-0.044599999999999994,-0.04656428571428571,-0.04675,0.0019817406284292982,-0.042699999999999995,-0.050899999999999994
28,-0.04869999999999999,-0.04663793103448275,-0.046799999999999994,0.001985883594377116,-0.042699999999999995,-0.050899999999999994
29,-0.048199999999999986,-0.046689999999999995,-0.046849999999999996,0.0019725364381932217,-0.042699999999999995,-0.050899999999999994
30,-0.04689999999999999,-0.04669677419354838,-0.04689999999999999,0.0019408152379145021,-0.042699999999999995,-0.050899999999999994
31,-0.044,-0.046612499999999994,-0.04684999999999999,0.001967032981421512,-0.042699999999999995,-0.050899999999999994
32,-0.041299999999999996,-0.04645151515151514,-0.046799999999999994,0.0021403937915962486,-0.041299999999999996,-0.050899999999999994
33,-0.046700000000000005,-0.046458823529411754,-0.04675,0.0021091004002346345,-0.041299999999999996,-0.050899999999999994
34,-0.047599999999999996,-0.046491428571428565,-0.046799999999999994,0.0020874278675060407,-0.041299999999999996,-0.050899999999999994
35,-0.0479,-0.04653055555555555,-0.04684999999999999,0.0020712073028448953,-0.041299999999999996,-0.050899999999999994
36,-0.045099999999999994,-0.04649189189189189,-0.046799999999999994,0.002056154686890251,-0.041299999999999996,-0.050899999999999994
37,-0.0464,-0.04648947368421052,-0.04675,0.0020289729672765626,-0.041299999999999996,-0.050899999999999994
38,-0.04889999999999999,-0.04655128205128204,-0.046799999999999994,0.002038711482822095,-0.041299999999999996,-0.050899999999999994
39,-0.049,-0.046612499999999994,-0.04684999999999999,0.0020490470345992553,-0.041299999999999996,-0.050899999999999994
40,-0.045399999999999996,-0.04658292682926829,-0.046799999999999994,0.002032528455268293,-0.041299999999999996,-0.050899999999999994
41,-0.04939999999999999,-0.04665,-0.04684999999999999,0.0020535973083255408,-0.041299999999999996,-0.050899999999999994
42,-0.049699999999999994,-0.04672093023255814,-0.04689999999999999,0.0020809834593103335,-0.041299999999999996,-0.050899999999999994
43,-0.0411,-0.04659318181818182,-0.04684999999999999,0.0022212197434653626,-0.0411,-0.050899999999999994
44,-0.046299999999999994,-0.046586666666666665,-0.046799999999999994,0.0021968259932103056,-0.0411,-0.050899999999999994
45,-0.045599999999999995,-0.04656521739130435,-0.04675,0.0021775751762897174,-0.0411,-0.050899999999999994
46,-0.045899999999999996,-0.046551063829787236,-0.046700000000000005,0.002156422603001153,-0.0411,-0.050899999999999994
47,-0.0445,-0.04650833333333334,-0.046700000000000005,0.0021538563606290514,-0.0411,-0.050899999999999994
48,-0.04499999999999999,-0.04647755102040817,-0.0467,0.0021424061721766465,-0.0411,-0.050899999999999994
49,-0.047,-0.046488,-0.046700000000000005,0.0021221347742308924,-0.0411,-0.050899999999999994
50,-0.045099999999999994,-0.046460784313725495,-0.0467,0.0021100207629656392,-0.0411,-0.050899999999999994
51,-0.048299999999999996,-0.04649615384615385,-0.046700000000000005,0.002104844370134098,-0.0411,-0.050899999999999994
52,-0.04499999999999999,-0.04646792452830189,-0.0467,0.0020948070190674396,-0.0411,-0.050899999999999994
53,-0.047299999999999995,-0.046483333333333335,-0.046700000000000005,0.0020783495945189386,-0.0411,-0.050899999999999994
54,-0.043699999999999996,-0.04643272727272727,-0.0467,0.002092675933340724,-0.0411,-0.050899999999999994
55,-0.04769999999999999,-0.04645535714285714,-0.046700000000000005,0.0020806866691806636,-0.0411,-0.050899999999999994
56,-0.04959999999999999,-0.04651052631578947,-0.046700000000000005,0.0021032709872478884,-0.0411,-0.050899999999999994
57,-0.0485,-0.04654482758620689,-0.04675,0.002101081200632854,-0.0411,-0.050899999999999994
58,-0.04409999999999999,-0.04650338983050847,-0.046700000000000005,0.002106967143300396,-0.0411,-0.050899999999999994
59,-0.04769999999999999,-0.046523333333333326,-0.04675,0.0020949436481416126,-0.0411,-0.050899999999999994
60,-0.050699999999999995,-0.04659180327868852,-0.046799999999999994,0.002144324960231359,-0.0411,-0.050899999999999994
61,-0.0461,-0.04658387096774193,-0.04675,0.0021278638044873667,-0.0411,-0.050899999999999994
62,-0.047200000000000006,-0.046593650793650784,-0.046799999999999994,0.0021123125832801116,-0.0411,-0.050899999999999994
63,-0.044599999999999994,-0.04656249999999999,-0.04675,0.00211027989849688,-0.0411,-0.050899999999999994
64,-0.043,-0.046507692307692305,-0.046700000000000005,0.0021393965858342604,-0.0411,-0.050899999999999994
65,-0.046599999999999996,-0.04650909090909091,-0.046700000000000005,0.002123157116948882,-0.0411,-0.050899999999999994
66,-0.0455,-0.04649402985074627,-0.0467,0.002110802393730306,-0.0411,-0.050899999999999994
67,-0.0499,-0.046544117647058826,-0.046700000000000005,0.002134959866886962,-0.0411,-0.050899999999999994
68,-0.055200000000000006,-0.04666956521739131,-0.046700000000000005,0.0023584141286611296,-0.0411,-0.055200000000000006
69,-0.0472,-0.04667714285714286,-0.04675,0.0023423536044251026,-0.0411,-0.055200000000000006
70,-0.046299999999999994,-0.0466718309859155,-0.046700000000000005,0.002326224233108633,-0.0411,-0.055200000000000006
71,-0.04489999999999999,-0.046647222222222215,-0.046700000000000005,0.002319301392794237,-0.0411,-0.055200000000000006
72,-0.0447,-0.046620547945205475,-0.0467,0.0023144548104508476,-0.0411,-0.055200000000000006
73,-0.04939999999999999,-0.0466581081081081,-0.046700000000000005,0.0023210556054191755,-0.0411,-0.055200000000000006
74,-0.045099999999999994,-0.04663733333333333,-0.0467,0.002312445939308036,-0.0411,-0.055200000000000006
75,-0.044199999999999996,-0.04660526315789473,-0.04665,0.002313910721156883,-0.0411,-0.055200000000000006
76,-0.04349999999999999,-0.04656493506493506,-0.046599999999999996,0.0023255646561231996,-0.0411,-0.055200000000000006
77,-0.0433,-0.04652307692307692,-0.0465,0.0023396210013547666,-0.0411,-0.055200000000000006
78,-0.044899999999999995,-0.04650253164556962,-0.0464,0.002331836603452543,-0.0411,-0.055200000000000006
79,-0.05109999999999999,-0.046560000000000004,-0.0465,0.002372846391994223,-0.0411,-0.055200000000000006
80,-0.047799999999999995,-0.04657530864197531,-0.046599999999999996,0.002362125578884227,-0.0411,-0.055200000000000006
81,-0.04259999999999999,-0.046526829268292685,-0.0465,0.0023878783715240086,-0.0411,-0.055200000000000006
82,-0.049,-0.0465566265060241,-0.046599999999999996,0.0023887382751672987,-0.0411,-0.055200000000000006
83,-0.047,-0.04656190476190477,-0.04665,0.0023749638975654416,-0.0411,-0.055200000000000006
84,-0.047,-0.04656705882352942,-0.0467,0.002361424706315791,-0.0411,-0.055200000000000006
85,-0.0453,-0.046552325581395354,-0.04665,0.002351581691571929,-0.0411,-0.055200000000000006
86,-0.04639999999999999,-0.04655057471264369,-0.046599999999999996,0.002338084173151143,-0.0411,-0.055200000000000006
87,-0.048299999999999996,-0.04657045454545455,-0.04665,0.002332144891165305,-0.0411,-0.055200000000000006
88,-0.047299999999999995,-0.04657865168539326,-0.0467,0.002320280490120589,-0.0411,-0.055200000000000006
