params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",77.96603456629236,100,-0.04812385961947816,-0.0486,-0.057499999999999996,-0.0364,0.004112202067984134
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",77.3395168166353,100,-0.04661099999999999,-0.0465,-0.05739999999999999,-0.037,0.004152442534220069
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",76.63390012912714,100,-0.04536388491048592,-0.04545,-0.0537,-0.0329,0.003456378638235931
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",76.01462512279795,100,-0.047958,-0.048299999999999996,-0.05539999999999999,-0.038799999999999994,0.003421963763688914
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",75.82142476820627,100,-0.04537836379613356,-0.04525,-0.04973637961335676,-0.0405,0.002070090277305221
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",76.12036000736225,100,-0.04371428719723183,-0.0438,-0.04959999999999999,-0.0375,0.002613526957075844
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",75.18248927516834,100,-0.04352601098901099,-0.043399999999999994,-0.053599999999999995,-0.0365,0.0028371891233834206
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",80.14043023446902,100,-0.04147614571023209,-0.04209999999999999,-0.04819999999999999,-0.030999999999999996,0.003928215043265113
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",78.77233173316017,100,-0.04377513513513514,-0.043899999999999995,-0.0513,-0.03559999999999999,0.0027337929887221286
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",78.36902165135871,100,-0.047230999999999995,-0.04745,-0.0547,-0.0385,0.003692199750826057
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",77.82380916111833,100,-0.047544,-0.04725,-0.0573,-0.0285,0.004211064473503106
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",78.27923490677858,100,-0.045915149154358306,-0.046,-0.0541,-0.029700000000000004,0.003867126959610728
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",78.17921170461159,100,-0.0476610625523276,-0.04773831437435366,-0.0547,-0.032,0.0033236620103319313
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",77.86727725743367,100,-0.0436474504358103,-0.0436,-0.05009999999999999,-0.037,0.0025859631298860053
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",78.05637527142608,100,-0.04327799999999999,-0.04345,-0.04959999999999999,-0.036199999999999996,0.0026318275019461285
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",76.24063291844504,100,-0.045900335389215945,-0.046049999999999994,-0.052199999999999996,-0.0241,0.004024429074712654
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",84.14145952209037,100,-0.04375992578099609,-0.0439,-0.051699999999999996,-0.033100000000000004,0.003073911102432606
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",73.48183848611734,100,-0.030945,-0.03085,-0.036399999999999995,-0.0253,0.0022445211070515683
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",77.97238483720685,100,-0.048617999999999995,-0.049699999999999994,-0.0556,-0.0275,0.004822807895821685
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",76.07225253548859,100,-0.04662,-0.04694999999999999,-0.0535,-0.037099999999999994,0.0037783594323462654
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",75.0335493462153,100,-0.04811290425531915,-0.048549999999999996,-0.055099999999999996,-0.0348,0.0036410549577573924
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",74.74832701091873,100,-0.047826543272977425,-0.047799999999999995,-0.0561,-0.0358,0.003787219360287477
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.9, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",76.34344390682236,100,-0.043958,-0.04405,-0.0493,-0.0339,0.002535317731567386
