steps,time,reward,delta,converged
1,0.007671172400591786,-51.22986499582597,0.7213827446273433,False
2,0.0076528363415491185,-67.67486304870184,0.151504153330285,False
3,0.007508616184736638,-73.59525720638287,0.03603843576944571,False
4,0.007535062423698946,-75.77091359435151,0.01229209533607678,False
5,0.007637673831141001,-76.57336626066834,0.005503877076665137,False
6,0.0075943019991200345,-76.87009174483279,0.0024153460587945097,False
7,0.007658830822265372,-76.97965390511345,0.0010203094405482616,False
8,0.007538588588886341,-77.02006923699834,0.0004091983659719467,False
9,0.007536120273243796,-77.03497883282046,0.00016094807845870585,False
10,0.007791062017531658,-77.0404940015221,6.3017815580102e-05,False
11,0.007590070600826948,-77.04253606219113,2.5047424677210328e-05,False
12,0.007538235972333496,-77.0432932540263,9.856212583897461e-06,True
