params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.8277189730960117,100,-0.09487801344753927,-0.08985126710936439,-0.18181818181818182,-0.07244897959183672,0.015009954252302041
"{""discount_factor"": 0.1}",4.5599388139813755,100,-0.07996543718515033,-0.07604999999999999,-0.10220994475138119,-0.059475218658892125,0.011525818036097434
"{""discount_factor"": 0.2}",4.623453864712246,100,-0.0786806587583672,-0.07535,-0.10253164556962023,-0.06079999999999999,0.01072087849585263
"{""discount_factor"": 0.3}",4.662677515971723,100,-0.08041528904311304,-0.07886413711826193,-0.10701754385964912,-0.059899999999999995,0.011201983198257093
"{""discount_factor"": 0.4}",4.636569436187415,100,-0.07728891077630981,-0.07485,-0.09960000000000002,-0.0589,0.01097162071048459
"{""discount_factor"": 0.5}",4.747465568759935,100,-0.07910203760108253,-0.07477362525458248,-0.12432432432432435,-0.060599999999999994,0.012038191023675284
"{""discount_factor"": 0.6}",4.855764680659945,100,-0.07620025449975641,-0.0730361803084223,-0.1015625,-0.05769999999999999,0.009871926785737431
"{""discount_factor"": 0.7}",4.915356872601706,100,-0.07865267538125124,-0.07582435968399337,-0.11029411764705879,-0.062299999999999994,0.01066752923874399
"{""discount_factor"": 0.8}",4.940011467089221,100,-0.07573062782523696,-0.07465777496839443,-0.09999999999999999,-0.06039999999999999,0.00821324801874706
"{""discount_factor"": 0.9}",5.33543633826082,100,-0.0722301696396312,-0.07085,-0.12000000000000001,-0.05919999999999999,0.008037887734418596
