step,reward,mean,median,std,max,min
0,-0.0865,-0.0865,-0.0865,0.0,-0.0865,-0.0865
1,-0.08270000000000001,-0.08460000000000001,-0.08460000000000001,0.001899999999999992,-0.08270000000000001,-0.0865
2,-0.07690000000000001,-0.08203333333333335,-0.08270000000000001,0.003947432358156651,-0.07690000000000001,-0.0865
3,-0.06674584323040379,-0.07821146080760095,-0.07980000000000001,0.0074502882813694375,-0.06674584323040379,-0.0865
4,-0.0756066411238825,-0.07769049687085726,-0.07690000000000001,0.006744705336332979,-0.06674584323040379,-0.0865
5,-0.09021739130434779,-0.07977831260977235,-0.07980000000000001,0.007726841605292116,-0.06674584323040379,-0.09021739130434779
6,-0.07293233082706767,-0.07880031521224311,-0.07690000000000001,0.007544123553769195,-0.06674584323040379,-0.09021739130434779
7,-0.11290322580645162,-0.08306317903651918,-0.07980000000000001,0.01330427115855916,-0.06674584323040379,-0.11290322580645162
8,-0.08427299703264095,-0.08319760325831048,-0.08270000000000001,0.012549148174831343,-0.06674584323040379,-0.11290322580645162
9,-0.0780722891566265,-0.08268507184814208,-0.08038614457831325,0.012004049480911364,-0.06674584323040379,-0.11290322580645162
10,-0.07586206896551724,-0.08206479885881256,-0.0780722891566265,0.011612271265361645,-0.06674584323040379,-0.11290322580645162
11,-0.07478152309612983,-0.08145785921192233,-0.07748614457831327,0.011298668359440475,-0.06674584323040379,-0.11290322580645162
12,-0.07718631178707223,-0.08112927864078001,-0.07718631178707223,0.010914920804778697,-0.06674584323040379,-0.11290322580645162
13,-0.08078078078078077,-0.08110438593649436,-0.07762930047184938,0.010518263796076434,-0.06674584323040379,-0.11290322580645162
14,-0.0821,-0.08117076020739473,-0.0780722891566265,0.010164642607850077,-0.06674584323040379,-0.11290322580645162
15,-0.0691111111111111,-0.08041703213887699,-0.07762930047184938,0.010265673475486672,-0.06674584323040379,-0.11290322580645162
16,-0.07968253968253967,-0.08037382670026891,-0.0780722891566265,0.009960665509258539,-0.06674584323040379,-0.11290322580645162
17,-0.0799,-0.08034750299469842,-0.0788774144195831,0.009680635351199247,-0.06674584323040379,-0.11290322580645162
18,-0.072,-0.07990816073181956,-0.0780722891566265,0.009605037082707163,-0.06674584323040379,-0.11290322580645162
19,-0.065,-0.07916275269522857,-0.07762930047184938,0.009909638246245148,-0.065,-0.11290322580645162
20,-0.07,-0.07872643113831293,-0.07718631178707223,0.009865709575188281,-0.065,-0.11290322580645162
21,-0.06305418719211822,-0.0780140564134859,-0.07704315589353612,0.010176692295502861,-0.06305418719211822,-0.11290322580645162
22,-0.07669999999999999,-0.07795692352594304,-0.07690000000000001,0.009956608297403304,-0.06305418719211822,-0.11290322580645162
23,-0.07593856655290103,-0.07787282531873296,-0.07680000000000001,0.009755312968646564,-0.06305418719211822,-0.11290322580645162
24,-0.07389705882352941,-0.07771379465892482,-0.07669999999999999,0.009589914696691017,-0.06305418719211822,-0.11290322580645162
25,-0.078,-0.07772480255665849,-0.07680000000000001,0.009403846103964783,-0.06305418719211822,-0.11290322580645162
26,-0.0711,-0.07747943949900447,-0.07669999999999999,0.009312482438117066,-0.06305418719211822,-0.11290322580645162
27,-0.07131011608623548,-0.077259106519977,-0.07631928327645052,0.009216065424207547,-0.06305418719211822,-0.11290322580645162
28,-0.0716,-0.07706396491583986,-0.07593856655290103,0.00911445478115115,-0.06305418719211822,-0.11290322580645162
29,-0.06397919375812744,-0.07662780587724945,-0.07590031775920913,0.00926396151368877,-0.06305418719211822,-0.11290322580645162
30,-0.06999999999999999,-0.07641400568766075,-0.07586206896551724,0.00918824682706398,-0.06305418719211822,-0.11290322580645162
31,-0.08312757201646091,-0.07662380463543575,-0.07590031775920913,0.0091186686016007,-0.06305418719211822,-0.11290322580645162
32,-0.054615384615384614,-0.07595688281664632,-0.07586206896551724,0.009739790929211428,-0.054615384615384614,-0.11290322580645162
33,-0.06853932584269662,-0.07573871937623604,-0.07573435504469987,0.009676986517581799,-0.054615384615384614,-0.11290322580645162
34,-0.08301886792452828,-0.07594672362047296,-0.07586206896551724,0.009614549354535729,-0.054615384615384614,-0.11290322580645162
35,-0.07369999999999999,-0.07588431463101537,-0.07573435504469987,0.00948726064908764,-0.054615384615384614,-0.11290322580645162
36,-0.10487804878048783,-0.07666792906748761,-0.07586206896551724,0.010472884986423578,-0.054615384615384614,-0.11290322580645162
37,-0.07981927710843373,-0.07675085927909145,-0.07590031775920913,0.010346469637225348,-0.054615384615384614,-0.11290322580645162
38,-0.0815,-0.0768726321180891,-0.07593856655290103,0.010240510944148266,-0.054615384615384614,-0.11290322580645162
39,-0.08605697151424287,-0.07710224060299295,-0.07631928327645052,0.010212856847353909,-0.054615384615384614,-0.11290322580645162
40,-0.0708,-0.0769485274175541,-0.07593856655290103,0.01013427810191038,-0.054615384615384614,-0.11290322580645162
41,-0.08452830188679245,-0.07712899823825026,-0.07631928327645052,0.010079366419296583,-0.054615384615384614,-0.11290322580645162
42,-0.07701149425287354,-0.07712626558742755,-0.07669999999999999,0.009961490779316873,-0.054615384615384614,-0.11290322580645162
43,-0.13333333333333336,-0.07840369894528904,-0.07680000000000001,0.012928456561542567,-0.054615384615384614,-0.13333333333333336
44,-0.08091397849462365,-0.07845948293527426,-0.07690000000000001,0.012789354070049443,-0.054615384615384614,-0.13333333333333336
45,-0.07543859649122808,-0.07839381149083847,-0.07680000000000001,0.012657244323466568,-0.054615384615384614,-0.13333333333333336
46,-0.07659574468085106,-0.07835555475020044,-0.07669999999999999,0.012524556826421432,-0.054615384615384614,-0.13333333333333336
47,-0.0615,-0.07800439735957126,-0.07664787234042553,0.012625060550293348,-0.054615384615384614,-0.13333333333333336
48,-0.07988165680473372,-0.07804270877681947,-0.07669999999999999,0.012498388116225136,-0.054615384615384614,-0.13333333333333336
49,-0.079,-0.07806185460128309,-0.07680000000000001,0.012373498816456358,-0.054615384615384614,-0.13333333333333336
50,-0.07446236559139784,-0.07799127638540299,-0.07669999999999999,0.012261749806088143,-0.054615384615384614,-0.13333333333333336
51,-0.08119180633147113,-0.07805282503821198,-0.07680000000000001,0.012151228433698077,-0.054615384615384614,-0.13333333333333336
52,-0.07586837294332724,-0.07801160896095001,-0.07669999999999999,0.012039717388161243,-0.054615384615384614,-0.13333333333333336
53,-0.0758,-0.07797065323945095,-0.07664787234042553,0.01193144364294325,-0.054615384615384614,-0.13333333333333336
54,-0.08535031847133757,-0.07810482897093979,-0.07669999999999999,0.011863522431699889,-0.054615384615384614,-0.13333333333333336
55,-0.0875243664717349,-0.0782730349977397,-0.07680000000000001,0.011823113946963275,-0.054615384615384614,-0.13333333333333336
56,-0.0756578947368421,-0.07822715534403975,-0.07669999999999999,0.011723971759361738,-0.054615384615384614,-0.13333333333333336
57,-0.0701,-0.07808703197603906,-0.07664787234042553,0.011670511126281905,-0.054615384615384614,-0.13333333333333336
58,-0.0728395061728395,-0.0779980908607306,-0.07659574468085106,0.011590994417263176,-0.054615384615384614,-0.13333333333333336
59,-0.075,-0.07794812267971843,-0.07626715561687605,0.01150040338636209,-0.054615384615384614,-0.13333333333333336
60,-0.09313304721030044,-0.07819705586874436,-0.07659574468085106,0.01156759080876031,-0.054615384615384614,-0.13333333333333336
61,-0.06674641148325358,-0.07801236805607516,-0.07626715561687605,0.01156423926526865,-0.054615384615384614,-0.13333333333333336
62,-0.06363636363636364,-0.07778417750973053,-0.07593856655290103,0.011611946558585046,-0.054615384615384614,-0.13333333333333336
63,-0.07740000000000001,-0.07777817473614097,-0.07626715561687605,0.011520969582429349,-0.054615384615384614,-0.13333333333333336
64,-0.07223650385604112,-0.07769291826106252,-0.07593856655290103,0.011452331318221664,-0.054615384615384614,-0.13333333333333336
65,-0.07753378378378378,-0.0776905071326189,-0.07626715561687605,0.011365256706655039,-0.054615384615384614,-0.13333333333333336
66,-0.07590000000000001,-0.07766378314556488,-0.07593856655290103,0.011282211614221884,-0.054615384615384614,-0.13333333333333336
67,-0.0716643741403026,-0.07757555654254633,-0.07591928327645052,0.01122220725626683,-0.054615384615384614,-0.13333333333333336
68,-0.06470588235294118,-0.07738903952530567,-0.07590000000000001,0.011246260395066482,-0.054615384615384614,-0.13333333333333336
69,-0.0648,-0.07720919610351558,-0.07588418647166362,0.011265134320742316,-0.054615384615384614,-0.13333333333333336
70,-0.07957894736842104,-0.07724257288189453,-0.07590000000000001,0.011189006308948783,-0.054615384615384614,-0.13333333333333336
