steps,time,reward,delta,converged
1,0.0012821136681395728,-8.554207778133335,0.724992,False
2,0.00123451043782552,-11.557121500566872,0.1433024853333333,False
3,0.0012422680011923148,-12.86736308848684,0.04991999999999999,False
4,0.0012496729482336377,-13.443818224085616,0.023993599999999976,False
5,0.0013191384026640662,-13.710126516590087,0.012214234999466694,False
6,0.0012623671428855232,-13.834186450296718,0.006792110079999997,False
7,0.0012598988272429779,-13.892981075650875,0.003725700084531186,False
8,0.001242973234298006,-13.921326027047611,0.0020088865041335835,False
9,0.001257783128153278,-13.935040824461824,0.0010656448135450691,False
10,0.0012644828420889098,-13.941727134605369,0.0005574159334773843,False
11,0.0012461467829325557,-13.945013613724166,0.0002882836761055052,False
12,0.0012472046324774055,-13.946636108344622,0.00014777831656692664,False
13,0.001242973234298006,-13.947439374539895,7.524016083265694e-05,False
14,0.0012380366030129153,-13.947837809520458,3.811086312272005e-05,False
15,0.0012405049186554606,-13.948035699661308,1.922898148348784e-05,False
16,0.0013635680842298825,-13.948134077530593,9.673607031968068e-06,True
