params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.1206241171363445,100,-0.0917830926035724,-0.08682277318640955,-0.15625,-0.061855670103092786,0.017937493320538556
"{""discount_factor"": 0.1}",1.528027371504777,100,-0.07817056421709137,-0.07674999999999998,-0.11818181818181817,-0.06293103448275861,0.009587610531874199
"{""discount_factor"": 0.2}",1.5714482172061253,100,-0.07756987523297287,-0.0764261674964537,-0.13043478260869568,-0.0484848484848485,0.009828943900806025
"{""discount_factor"": 0.3}",1.5672750006876868,100,-0.07742975468178491,-0.07591928327645052,-0.15000000000000002,-0.05402843601895734,0.012900701737115865
"{""discount_factor"": 0.4}",1.6872048158953703,100,-0.07733493468403396,-0.07669999999999999,-0.11276595744680849,-0.05720338983050846,0.0089435393573304
"{""discount_factor"": 0.5}",1.7079012899417876,100,-0.07655347984336582,-0.07575,-0.1642857142857143,-0.0484848484848485,0.011981035036624097
"{""discount_factor"": 0.6}",1.6028413133977892,100,-0.0776881634151259,-0.0769,-0.10468749999999999,-0.04931506849315068,0.00970553736180541
"{""discount_factor"": 0.7}",1.7051537020150818,100,-0.07778390392463364,-0.07709369817578772,-0.10952380952380951,-0.0600997506234414,0.007826217276168173
"{""discount_factor"": 0.8}",1.6463104675624436,100,-0.07812379030244482,-0.0767072567783094,-0.1121951219512195,-0.05333333333333334,0.010342397572231724
"{""discount_factor"": 0.9}",1.5175349143247558,100,-0.08049036155760492,-0.07720146177941418,-0.15384615384615385,-0.05370370370370372,0.01751350113180238
