step,reward,mean,median,std,max,min
0,-0.05039999999999999,-0.05039999999999999,-0.05039999999999999,0.0,-0.05039999999999999,-0.05039999999999999
1,-0.04789999999999999,-0.04914999999999999,-0.04914999999999999,0.0012500000000000011,-0.04789999999999999,-0.05039999999999999
2,-0.047099999999999996,-0.04846666666666666,-0.04789999999999999,0.0014055445761538671,-0.047099999999999996,-0.05039999999999999
3,-0.041,-0.046599999999999996,-0.047499999999999994,0.0034547069340249365,-0.041,-0.05039999999999999
4,-0.0513,-0.04753999999999999,-0.04789999999999999,0.0036169600495443662,-0.041,-0.0513
5,-0.046299999999999994,-0.04733333333333333,-0.047499999999999994,0.003333999933346662,-0.041,-0.0513
6,-0.0453,-0.04704285714285714,-0.047099999999999996,0.0031676296423383205,-0.041,-0.0513
7,-0.0423,-0.04644999999999999,-0.04669999999999999,0.00335261092284804,-0.041,-0.0513
8,-0.04409999999999999,-0.04618888888888888,-0.046299999999999994,0.0032460041912906606,-0.041,-0.0513
9,-0.045200000000000004,-0.04608999999999999,-0.045799999999999993,0.003093687120573118,-0.041,-0.0513
10,-0.05539999999999999,-0.04693636363636362,-0.046299999999999994,0.0039829803202382184,-0.041,-0.05539999999999999
11,-0.0447,-0.046749999999999986,-0.045799999999999993,0.0038631809000701286,-0.041,-0.05539999999999999
12,-0.044899999999999995,-0.0466076923076923,-0.0453,0.0037442184227997597,-0.041,-0.05539999999999999
13,-0.0448,-0.04647857142857142,-0.04525,0.0036379308427080515,-0.041,-0.05539999999999999
14,-0.050699999999999995,-0.04675999999999999,-0.0453,0.003668932633160039,-0.041,-0.05539999999999999
15,-0.0452,-0.046662499999999996,-0.04525,0.003572442266853306,-0.041,-0.05539999999999999
16,-0.05009999999999999,-0.04686470588235294,-0.0453,0.003558906173080278,-0.041,-0.05539999999999999
17,-0.04069999999999999,-0.046522222222222215,-0.04525,0.0037357961453358454,-0.04069999999999999,-0.05539999999999999
18,-0.0447,-0.04642631578947368,-0.045200000000000004,0.003658852581898657,-0.04069999999999999,-0.05539999999999999
19,-0.040799999999999996,-0.04614499999999999,-0.045200000000000004,0.003771137096420652,-0.04069999999999999,-0.05539999999999999
20,-0.045,-0.04609047619047618,-0.0452,0.0036883219518992192,-0.04069999999999999,-0.05539999999999999
21,-0.0395,-0.045790909090909084,-0.0451,0.003856153181004599,-0.0395,-0.05539999999999999
22,-0.0479,-0.04588260869565217,-0.0452,0.003795838931607476,-0.0395,-0.05539999999999999
23,-0.0453,-0.045858333333333334,-0.045200000000000004,0.0037177408761534486,-0.0395,-0.05539999999999999
24,-0.0458,-0.045856,-0.045200000000000004,0.003642645192713667,-0.0395,-0.05539999999999999
25,-0.0429,-0.04574230769230769,-0.045200000000000004,0.0036168593555228443,-0.0395,-0.05539999999999999
26,-0.041499999999999995,-0.04558518518518519,-0.0452,0.003638549131250154,-0.0395,-0.05539999999999999
27,-0.0525,-0.04583214285714286,-0.045200000000000004,0.0037964319311905564,-0.0395,-0.05539999999999999
28,-0.0453,-0.045813793103448276,-0.045200000000000004,0.003731665444768135,-0.0395,-0.05539999999999999
29,-0.0431,-0.04572333333333333,-0.045200000000000004,0.0037011424662603235,-0.0395,-0.05539999999999999
30,-0.0416,-0.04559032258064516,-0.0452,0.003713128829221164,-0.0395,-0.05539999999999999
31,-0.043399999999999994,-0.045521874999999996,-0.0451,0.0036744671701316087,-0.0395,-0.05539999999999999
32,-0.050699999999999995,-0.045678787878787874,-0.0452,0.003725648820920024,-0.0395,-0.05539999999999999
33,-0.0462,-0.04569411764705882,-0.045200000000000004,0.003671507237896157,-0.0395,-0.05539999999999999
34,-0.046299999999999994,-0.04571142857142857,-0.045200000000000004,0.0036200845632247255,-0.0395,-0.05539999999999999
35,-0.0465,-0.04573333333333333,-0.04525,0.0035718031549593784,-0.0395,-0.05539999999999999
36,-0.0513,-0.04588378378378378,-0.0453,0.0036370104677385423,-0.0395,-0.05539999999999999
37,-0.0455,-0.04587368421052631,-0.0453,0.0035893617824816933,-0.0395,-0.05539999999999999
38,-0.0479,-0.04592564102564102,-0.0453,0.003557492486880939,-0.0395,-0.05539999999999999
39,-0.046099999999999995,-0.04593,-0.0453,0.00351284784754478,-0.0395,-0.05539999999999999
40,-0.0394,-0.045770731707317075,-0.0453,0.003613001178159908,-0.0394,-0.05539999999999999
41,-0.046,-0.04577619047619048,-0.0453,0.0035699012607266697,-0.0394,-0.05539999999999999
42,-0.0439,-0.04573255813953489,-0.0453,0.003539460012043129,-0.0394,-0.05539999999999999
43,-0.042,-0.04564772727272728,-0.0453,0.003542950018658284,-0.0394,-0.05539999999999999
44,-0.0443,-0.04561777777777778,-0.0453,0.0035089909210413483,-0.0394,-0.05539999999999999
45,-0.04310520939734423,-0.045563156726029216,-0.04525,0.0034899281745337397,-0.0394,-0.05539999999999999
46,-0.04489999999999999,-0.04554904700845413,-0.045200000000000004,0.003453927639122299,-0.0394,-0.05539999999999999
47,-0.044599999999999994,-0.045529275195778006,-0.045200000000000004,0.003420446743026754,-0.0394,-0.05539999999999999
48,-0.047599999999999996,-0.045571534885660084,-0.045200000000000004,0.0033980014452589516,-0.0394,-0.05539999999999999
49,-0.047599999999999996,-0.04561210418794689,-0.04525,0.0033758159149539137,-0.0394,-0.05539999999999999
50,-0.04439999999999999,-0.045588337439163615,-0.045200000000000004,0.003346777915997716,-0.0394,-0.05539999999999999
51,-0.04639999999999999,-0.04560394633456431,-0.04525,0.00331631506090652,-0.0394,-0.05539999999999999
52,-0.046599999999999996,-0.045622739799949893,-0.0453,0.003287674448863156,-0.0394,-0.05539999999999999
53,-0.046299999999999994,-0.04563528165550638,-0.0453,0.0032583703072908573,-0.0394,-0.05539999999999999
54,-0.052199999999999996,-0.045754640170860804,-0.0453,0.003345631434128791,-0.0394,-0.05539999999999999
55,-0.039099999999999996,-0.045635807310666854,-0.0453,0.00343074903055143,-0.039099999999999996,-0.05539999999999999
56,-0.043899999999999995,-0.04560535455083059,-0.0453,0.003408149021461488,-0.039099999999999996,-0.05539999999999999
57,-0.0436,-0.045570779472368,-0.04525,0.003388709594387546,-0.039099999999999996,-0.05539999999999999
58,-0.04409999999999999,-0.04554585100673464,-0.045200000000000004,0.00336522844177933,-0.039099999999999996,-0.05539999999999999
59,-0.04819999999999999,-0.04559008682328906,-0.04525,0.0033543208052866902,-0.039099999999999996,-0.05539999999999999
60,-0.04589999999999999,-0.045595167367169565,-0.0453,0.0033269455186706225,-0.039099999999999996,-0.05539999999999999
61,-0.043,-0.04555330982898941,-0.04525,0.0033161598999416463,-0.039099999999999996,-0.05539999999999999
62,-0.0475,-0.045584209672973705,-0.0453,0.0032987209452028537,-0.039099999999999996,-0.05539999999999999
