params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.18547593709593,100,-0.041382,-0.0414,-0.05149999999999999,-0.027100000000000003,0.0048794339835681756
"{""discount_factor"": 0.1}",3.232529085573674,100,-0.045866999999999984,-0.04575,-0.0533,-0.038099999999999995,0.0031115287239554777
"{""discount_factor"": 0.2}",3.2737221000994623,100,-0.04563869197494428,-0.045899999999999996,-0.0533,-0.031200000000000002,0.0038420276307593337
"{""discount_factor"": 0.3}",3.274453074146095,100,-0.04563862495568947,-0.0456,-0.05299999999999999,-0.0352,0.0034864681628013292
"{""discount_factor"": 0.4}",3.3580979441751424,100,-0.045771144001420044,-0.0457,-0.0528,-0.0353,0.0033491026598008572
"{""discount_factor"": 0.5}",3.347352660950037,100,-0.04534110602999266,-0.0453,-0.05539999999999999,-0.0357,0.0036093147358838315
"{""discount_factor"": 0.6}",3.4013611702919206,100,-0.04568382445546611,-0.045599999999999995,-0.05319999999999999,-0.029700000000000004,0.0034711689774109193
"{""discount_factor"": 0.7}",3.452354808384598,100,-0.043447281776645946,-0.043399999999999994,-0.050632911392405056,-0.038799999999999994,0.0024196350271671278
"{""discount_factor"": 0.8}",3.7095039320267915,100,-0.04334738477088949,-0.04345,-0.0517,-0.031799999999999995,0.002912991756052749
"{""discount_factor"": 0.9}",3.888499130095056,100,-0.04358676531765296,-0.0438875,-0.052,-0.03609999999999999,0.0026218097499295556
