step,reward,mean,median,std,max,min
0,-0.029,-0.029,-0.029,0.0,-0.029,-0.029
1,-0.031200000000000002,-0.030100000000000002,-0.030100000000000002,0.0011000000000000003,-0.029,-0.031200000000000002
2,-0.0334,-0.031200000000000002,-0.031200000000000002,0.0017962924780409964,-0.029,-0.0334
3,-0.0283,-0.030475000000000002,-0.030100000000000002,0.0019992185973524757,-0.0283,-0.0334
4,-0.0308,-0.03054,-0.0308,0.0017928747864811975,-0.0283,-0.0334
5,-0.0326,-0.030883333333333332,-0.031,0.001807776411936928,-0.0283,-0.0334
6,-0.0305,-0.030828571428571427,-0.0308,0.0016790424870947685,-0.0283,-0.0334
7,-0.027600000000000003,-0.030425,-0.03065,0.0018991774535308688,-0.027600000000000003,-0.0334
8,-0.025,-0.029822222222222226,-0.0305,0.0024724157227644455,-0.025,-0.0334
9,-0.0343,-0.030270000000000002,-0.03065,0.0027029798371427027,-0.025,-0.0343
10,-0.030600000000000002,-0.030300000000000004,-0.030600000000000002,0.002578935650788729,-0.025,-0.0343
11,-0.0264,-0.029975,-0.03055,0.0026941680843382177,-0.025,-0.0343
12,-0.027899999999999998,-0.029815384615384615,-0.0305,0.002646869312936192,-0.025,-0.0343
13,-0.0334,-0.030071428571428572,-0.03055,0.0027125182215131404,-0.025,-0.0343
14,-0.030699999999999998,-0.030113333333333332,-0.030600000000000002,0.0026252280324235108,-0.025,-0.0343
15,-0.033299999999999996,-0.0303125,-0.03065,0.002656330881121551,-0.025,-0.0343
16,-0.0276,-0.030152941176470584,-0.030600000000000002,0.0026548773422555966,-0.025,-0.0343
17,-0.0312,-0.03021111111111111,-0.03065,0.0025912006845580904,-0.025,-0.0343
18,-0.0314,-0.030273684210526314,-0.030699999999999998,0.0025360230169267526,-0.025,-0.0343
19,-0.0305,-0.030284999999999996,-0.03065,0.002472301559276294,-0.025,-0.0343
20,-0.030199999999999998,-0.030280952380952377,-0.030600000000000002,0.002412787174641264,-0.025,-0.0343
21,-0.0281,-0.030181818181818178,-0.03055,0.0024006886064469007,-0.025,-0.0343
22,-0.028,-0.03008695652173913,-0.0305,0.002389706976365982,-0.025,-0.0343
23,-0.0288,-0.030033333333333332,-0.0305,0.002353484414413846,-0.025,-0.0343
24,-0.0258,-0.029864,-0.0305,0.0024506129845408057,-0.025,-0.0343
25,-0.0285,-0.029811538461538462,-0.03035,0.0024172977479753836,-0.025,-0.0343
26,-0.0298,-0.029811111111111115,-0.030199999999999998,0.002372111628959925,-0.025,-0.0343
27,-0.0304,-0.02983214285714286,-0.0303,0.002331929546140548,-0.025,-0.0343
28,-0.0311,-0.02987586206896552,-0.0304,0.0023030197825694115,-0.025,-0.0343
29,-0.0325,-0.029963333333333335,-0.030449999999999998,0.0023127881201893278,-0.025,-0.0343
30,-0.028799999999999996,-0.029925806451612906,-0.0304,0.0022844449798068733,-0.025,-0.0343
31,-0.0297,-0.02991875,-0.0303,0.002248810449437657,-0.025,-0.0343
32,-0.0285,-0.029875757575757576,-0.030199999999999998,0.00222779008627456,-0.025,-0.0343
33,-0.0327,-0.029958823529411763,-0.0303,0.0022460576765758237,-0.025,-0.0343
34,-0.0327,-0.030037142857142856,-0.0304,0.0022603521488331617,-0.025,-0.0343
35,-0.027800000000000005,-0.029974999999999998,-0.0303,0.0022588560280716323,-0.025,-0.0343
36,-0.0299,-0.029972972972972974,-0.030199999999999998,0.0022281550541233624,-0.025,-0.0343
37,-0.027200000000000002,-0.029900000000000003,-0.03005,0.0022430008095359537,-0.025,-0.0343
