steps,time,reward,delta,converged
1,0.0023505417246951765,-8.284016981659295,0.719997427983539,False
2,0.0022683820754991757,-10.565035349133158,0.11104777652881503,False
3,0.0022031480192481467,-11.3539594969203,0.0339506172839506,False
4,0.002182343644562934,-11.625820571988207,0.01321587791495199,False
5,0.0021950378393285064,-11.725804870051935,0.005456723441548544,False
6,0.002293065232038316,-11.762743354484448,0.0024597388133160702,False
7,0.0022398201373334814,-11.776797115309659,0.001088631729193934,False
8,0.002177054396724998,-11.782224550431618,0.0004725697873777801,False
9,0.0022013849367112925,-11.784336683703783,0.00020150131206392308,False
10,0.0022073794174275463,-11.785166262658702,8.462962984481792e-05,False
11,0.002199269237507906,-11.785494334941351,3.5116791326006425e-05,False
12,0.002194685222775661,-11.78562455765769,1.4435784074534608e-05,False
13,0.002198211387963056,-11.785676362577211,5.892162297099768e-06,True
