step,reward,mean,median,std,max,min
0,-0.044,-0.044,-0.044,0.0,-0.044,-0.044
1,-0.0384,-0.0412,-0.0412,0.0028000000000000004,-0.0384,-0.044
2,-0.051199999999999996,-0.044533333333333334,-0.044,0.0052391687211702665,-0.0384,-0.051199999999999996
3,-0.0329,-0.041624999999999995,-0.0412,0.006779518788232686,-0.0329,-0.051199999999999996
4,-0.039299999999999995,-0.041159999999999995,-0.039299999999999995,0.006134688256138203,-0.0329,-0.051199999999999996
5,-0.0445,-0.04171666666666666,-0.04164999999999999,0.005736844854873529,-0.0329,-0.051199999999999996
6,-0.0445,-0.04211428571428571,-0.044,0.005399848826304193,-0.0329,-0.051199999999999996
7,-0.04839999999999999,-0.042899999999999994,-0.04425,0.005462142436809936,-0.0329,-0.051199999999999996
8,-0.0444,-0.04306666666666666,-0.0444,0.005171288255572513,-0.0329,-0.051199999999999996
9,-0.042199999999999994,-0.04298,-0.0442,0.004912799609184156,-0.0329,-0.051199999999999996
10,-0.0457,-0.043227272727272725,-0.0444,0.004748988583054656,-0.0329,-0.051199999999999996
11,-0.0452,-0.04339166666666666,-0.04445,0.004579384662690925,-0.0329,-0.051199999999999996
12,-0.033600000000000005,-0.04263846153846153,-0.0444,0.005115216885624913,-0.0329,-0.051199999999999996
13,-0.047700000000000006,-0.04299999999999999,-0.04445,0.005098599247412399,-0.0329,-0.051199999999999996
14,-0.0402,-0.04281333333333333,-0.0444,0.004974986320472537,-0.0329,-0.051199999999999996
15,-0.0419,-0.042756249999999996,-0.0442,0.00482208056107527,-0.0329,-0.051199999999999996
16,-0.0464,-0.042970588235294115,-0.0444,0.004756019678616879,-0.0329,-0.051199999999999996
17,-0.0402,-0.04281666666666666,-0.0442,0.004665386729236208,-0.0329,-0.051199999999999996
18,-0.0418,-0.042763157894736836,-0.044,0.00454662518292597,-0.0329,-0.051199999999999996
19,-0.0407,-0.04265999999999999,-0.0431,0.0044542563913632085,-0.0329,-0.051199999999999996
20,-0.0364,-0.04236190476190475,-0.042199999999999994,0.004546738882663064,-0.0329,-0.051199999999999996
21,-0.040100000000000004,-0.042259090909090906,-0.04205,0.0044671181569440445,-0.0329,-0.051199999999999996
22,-0.0465,-0.04244347826086956,-0.042199999999999994,0.004453706427817125,-0.0329,-0.051199999999999996
23,-0.0406,-0.042366666666666664,-0.04205,0.004375468228912446,-0.0329,-0.051199999999999996
24,-0.0351,-0.042075999999999995,-0.0419,0.0045173691458635515,-0.0329,-0.051199999999999996
25,-0.04359999999999999,-0.04213461538461538,-0.04205,0.004439329671132126,-0.0329,-0.051199999999999996
26,-0.0345,-0.04185185185185185,-0.0419,0.004588743907075092,-0.0329,-0.051199999999999996
27,-0.0485,-0.04208928571428571,-0.04205,0.004671902280481403,-0.0329,-0.051199999999999996
28,-0.027100000000000003,-0.04157241379310344,-0.0419,0.005343632791929303,-0.027100000000000003,-0.051199999999999996
29,-0.045700000000000005,-0.04171,-0.04205,0.005305804997044902,-0.027100000000000003,-0.051199999999999996
30,-0.0474,-0.04189354838709677,-0.042199999999999994,0.005315463472273893,-0.027100000000000003,-0.051199999999999996
31,-0.0335,-0.04163125,-0.04205,0.005431760620415814,-0.027100000000000003,-0.051199999999999996
32,-0.0476,-0.04181212121212122,-0.042199999999999994,0.005445807816402117,-0.027100000000000003,-0.051199999999999996
33,-0.0443,-0.04188529411764706,-0.042899999999999994,0.005381566159145449,-0.027100000000000003,-0.051199999999999996
34,-0.0399,-0.04182857142857144,-0.042199999999999994,0.00531443164162165,-0.027100000000000003,-0.051199999999999996
35,-0.037099999999999994,-0.041697222222222226,-0.04205,0.005297404296818453,-0.027100000000000003,-0.051199999999999996
36,-0.0452,-0.04179189189189189,-0.042199999999999994,0.0052561098747400305,-0.027100000000000003,-0.051199999999999996
37,-0.041299999999999996,-0.04177894736842105,-0.04205,0.005187087099343645,-0.027100000000000003,-0.051199999999999996
38,-0.0402,-0.04173846153846154,-0.0419,0.0051262329541099435,-0.027100000000000003,-0.051199999999999996
39,-0.046,-0.041845,-0.04205,0.005105288924243171,-0.027100000000000003,-0.051199999999999996
40,-0.0425,-0.041860975609756094,-0.042199999999999994,0.00504365711532476,-0.027100000000000003,-0.051199999999999996
41,-0.0429,-0.04188571428571428,-0.04235,0.00498576886312057,-0.027100000000000003,-0.051199999999999996
42,-0.042899999999999994,-0.04190930232558139,-0.0425,0.00492982446753353,-0.027100000000000003,-0.051199999999999996
43,-0.033,-0.04170681818181818,-0.04235,0.0050511203854947204,-0.027100000000000003,-0.051199999999999996
44,-0.0405,-0.041679999999999995,-0.042199999999999994,0.004997848425961804,-0.027100000000000003,-0.051199999999999996
45,-0.047599999999999996,-0.04180869565217391,-0.04235,0.0050180468262911474,-0.027100000000000003,-0.051199999999999996
46,-0.047299999999999995,-0.04192553191489361,-0.0425,0.0050272224083084335,-0.027100000000000003,-0.051199999999999996
47,-0.041299999999999996,-0.0419125,-0.04235,0.004975382104254238,-0.027100000000000003,-0.051199999999999996
48,-0.0353,-0.041777551020408164,-0.042199999999999994,0.005012322175831845,-0.027100000000000003,-0.051199999999999996
49,-0.045,-0.041842,-0.04235,0.004982412668577341,-0.027100000000000003,-0.051199999999999996
50,-0.039400000000000004,-0.04179411764705882,-0.042199999999999994,0.004944928547421118,-0.027100000000000003,-0.051199999999999996
51,-0.0348,-0.041659615384615385,-0.04205,0.00499046242713903,-0.027100000000000003,-0.051199999999999996
52,-0.0321,-0.04147924528301886,-0.0419,0.005111413735337661,-0.027100000000000003,-0.051199999999999996
53,-0.0385,-0.04142407407407407,-0.04185,0.005079768702272486,-0.027100000000000003,-0.051199999999999996
54,-0.0424,-0.041441818181818184,-0.0419,0.005035065799302505,-0.027100000000000003,-0.051199999999999996
55,-0.0462,-0.04152678571428571,-0.04205,0.00502953743511513,-0.027100000000000003,-0.051199999999999996
56,-0.04209999999999999,-0.04153684210526316,-0.04209999999999999,0.0049857914460484905,-0.027100000000000003,-0.051199999999999996
57,-0.05149999999999999,-0.04170862068965517,-0.04214999999999999,0.005109939080639591,-0.027100000000000003,-0.05149999999999999
58,-0.039799999999999995,-0.041676271186440676,-0.04209999999999999,0.0050724359468535905,-0.027100000000000003,-0.05149999999999999
59,-0.041299999999999996,-0.04167,-0.041999999999999996,0.005030218683119054,-0.027100000000000003,-0.05149999999999999
60,-0.029700000000000004,-0.04147377049180328,-0.0419,0.005215233098836027,-0.027100000000000003,-0.05149999999999999
61,-0.042,-0.04148225806451613,-0.04195,0.005173428519181464,-0.027100000000000003,-0.05149999999999999
62,-0.0424,-0.0414968253968254,-0.042,0.005133486956698447,-0.027100000000000003,-0.05149999999999999
63,-0.032,-0.0413484375,-0.04195,0.0052276306830718,-0.027100000000000003,-0.05149999999999999
64,-0.04,-0.04132769230769231,-0.0419,0.005189916486427759,-0.027100000000000003,-0.05149999999999999
65,-0.0313,-0.041175757575757574,-0.04185,0.005294109379588663,-0.027100000000000003,-0.05149999999999999
66,-0.044,-0.04121791044776119,-0.0419,0.0052656001450454605,-0.027100000000000003,-0.05149999999999999
67,-0.03359999999999999,-0.04110588235294117,-0.04185,0.00530656869175146,-0.027100000000000003,-0.05149999999999999
68,-0.05039999999999999,-0.04124057971014492,-0.0419,0.005383800684355214,-0.027100000000000003,-0.05149999999999999
69,-0.043199999999999995,-0.041268571428571425,-0.04195,0.005350261485122355,-0.027100000000000003,-0.05149999999999999
70,-0.0399,-0.04124929577464788,-0.0419,0.0053148972997494074,-0.027100000000000003,-0.05149999999999999
71,-0.0385,-0.04121111111111111,-0.04185,0.005287657419657056,-0.027100000000000003,-0.05149999999999999
72,-0.0394,-0.04118630136986301,-0.0418,0.005255533680354506,-0.027100000000000003,-0.05149999999999999
73,-0.04089999999999999,-0.04118243243243243,-0.04155,0.005220007199645756,-0.027100000000000003,-0.05149999999999999
74,-0.0385,-0.041146666666666665,-0.041299999999999996,0.00519421045224606,-0.027100000000000003,-0.05149999999999999
75,-0.0402,-0.04113421052631579,-0.041299999999999996,0.005161052336378363,-0.027100000000000003,-0.05149999999999999
76,-0.04139999999999999,-0.041137662337662334,-0.041299999999999996,0.005127517790430272,-0.027100000000000003,-0.05149999999999999
77,-0.045099999999999994,-0.041188461538461535,-0.04135,0.005114007429805948,-0.027100000000000003,-0.05149999999999999
78,-0.046200000000000005,-0.041251898734177214,-0.04139999999999999,0.005112329617339584,-0.027100000000000003,-0.05149999999999999
79,-0.0467,-0.04132,-0.0416,0.005116209534411192,-0.027100000000000003,-0.05149999999999999
80,-0.0368,-0.041264197530864195,-0.04139999999999999,0.005108968358619635,-0.027100000000000003,-0.05149999999999999
81,-0.039,-0.04123658536585366,-0.04135,0.005083798085528179,-0.027100000000000003,-0.05149999999999999
82,-0.041400000000000006,-0.04123855421686747,-0.04139999999999999,0.005053111443369195,-0.027100000000000003,-0.05149999999999999
83,-0.0378,-0.041197619047619045,-0.04135,0.005036768999081988,-0.027100000000000003,-0.05149999999999999
